step,train_loss,lr,val_loss,val_perplexity
5,0.6889002174139023,3.3333333333333333e-06,,
10,0.6942967548966408,6.666666666666667e-06,,
15,0.6807627603411674,1e-05,,
20,0.6828083321452141,1.3333333333333333e-05,,
25,0.669411800801754,1.6666666666666667e-05,,
30,0.6343928650021553,2e-05,,
35,0.6834390610456467,1.999480976470285e-05,,
40,0.7351247444748878,1.9973734693185467e-05,,
45,0.6882191523909569,1.993648834521052e-05,,
50,0.745399571955204,1.9883137841214563e-05,,
50,,,0.6987100176513195,
55,0.6642341017723083,1.981377932241179e-05,,
60,0.647374302148819,1.9728537777541077e-05,,
65,0.6720768511295319,1.96275668176278e-05,,
70,0.7447930723428726,1.9511048399166426e-05,,
75,0.7283822074532509,1.9379192496222567e-05,,
80,0.6003189235925674,1.9232236722045555e-05,,
85,0.6029480993747711,1.9070445900873295e-05,,
90,0.7304353788495064,1.889411159070108e-05,,
95,0.6445440649986267,1.8703551557874392e-05,,
100,0.6887430250644684,1.8499109204452457e-05,,
100,,,0.6584186546504498,
105,0.698566384613514,1.828115294937453e-05,,
110,0.6291905120015144,1.805007556454406e-05,,
115,0.7582147046923637,1.7806293467027187e-05,,
120,0.68215611577034,1.7550245968641017e-05,,
125,0.711308304220438,1.7282394484284063e-05,,
130,0.6259296052157879,1.700322170043538e-05,,
135,0.6100401692092419,1.6713230705320933e-05,,
140,0.646142978221178,1.641294408231459e-05,,
145,0.6986928395926952,1.6102902968207587e-05,,
150,0.7359693795442581,1.5783666078043406e-05,,
150,,,0.6853571891784668,
155,0.7698621489107609,1.5455808698275555e-05,,
160,0.5958470515906811,1.511992165006246e-05,,
165,0.7289128601551056,1.4776610224567825e-05,,
170,0.6907096207141876,1.4426493092185029e-05,,
175,0.7540014684200287,1.4070201187651265e-05,,
180,0.5769764259457588,1.37083765730605e-05,,
185,0.72580885887146,1.3341671280824177e-05,,
190,0.6546934992074966,1.2970746138664757e-05,,
195,0.6523307040333748,1.2596269578759476e-05,,
200,0.6676445119082928,1.2218916433180397e-05,,
200,,,0.6953389592468738,
205,0.629577212035656,1.1839366717801385e-05,,
210,0.7218915484845638,1.1458304406863566e-05,,
215,0.6496498323976994,1.107641620040749e-05,,
220,0.6289648786187172,1.0694390286793262e-05,,
225,0.720113318413496,1.0312915102538587e-05,,
230,0.7345973923802376,9.932678091709643e-06,,
235,0.6904392242431641,9.554364467100404e-06,,
240,0.7047192081809044,9.17865597543288e-06,,
245,0.704159501940012,8.806229668803427e-06,,
250,0.6652682796120644,8.437756684589125e-06,,
250,,,0.684535076469183,
255,0.6559034548699856,8.07390103601285e-06,,
260,0.6653296090662479,7.715318415546574e-06,,
265,0.7054957672953606,7.362655013309205e-06,,
270,0.7513755485415459,7.016546352588315e-06,,
275,0.6266345605254173,6.677616144584232e-06,,
280,0.6367248520255089,6.3464751644402854e-06,,
285,0.6661511138081551,6.023720150584731e-06,,
290,0.5884921327233315,5.709932729367743e-06,,
295,0.6091768518090248,5.40567836693145e-06,,
300,0.700412455946207,5.111505350201712e-06,,
300,,,0.6695666551589966,
305,0.5987063273787498,4.827943798838017e-06,,
310,0.7312755435705185,4.555504709922025e-06,,
315,0.6354410834610462,4.294679037106294e-06,,
320,0.6864140555262566,4.0459368058826135e-06,,
325,0.6147966608405113,3.809726266564297e-06,,
330,0.6730068176984787,3.5864730865088113e-06,,
335,0.6544434912502766,3.376579583036443e-06,,
340,0.7101905196905136,3.180423998427286e-06,,
345,0.6327531412243843,2.998359818303086e-06,,
350,0.6832204237580299,2.8307151346222638e-06,,
350,,,0.6622158154845238,
355,0.5648730769753456,2.677792054436017e-06,,
360,0.6897844225168228,2.5398661554710166e-06,,
365,0.5894852876663208,2.4171859895196914e-06,,
370,0.6922463476657867,2.30997263453312e-06,,
375,0.6430187523365021,2.218419296223604e-06,,
380,0.6528524272143841,2.142690959894928e-06,,
385,0.7206583023071289,2.0829240931276814e-06,,
390,0.6857122890651226,2.0392263998554605e-06,,
395,0.8191779665648937,2.0116766262750963e-06,,
400,0.6710973158478737,2.0003244189406873e-06,,
400,,,0.6561554186046124,
