step,train_loss,lr,val_loss,val_perplexity
10,2.2351621985435486,0.0003333333333333333,,
20,2.366770327091217,0.0003986875973376497,,
27,,,2.331755930185318,10.296004735043894
30,2.289703130722046,0.0003923055310996509,,
40,2.2889820337295532,0.0003808021960814014,,
50,2.37731397151947,0.00036451949465899887,,
54,,,2.29896893799305,9.963903754134646
60,2.3184234499931335,0.0003439413816417899,,
70,2.31165611743927,0.000319679480156896,,
80,2.3028229475021362,0.00029245490297319414,,
81,,,2.2520940780639647,9.507624713012298
90,2.2714757919311523,0.00026307681957176045,,
100,2.264448583126068,0.00023241840599277845,,
108,,,2.1969844132661818,8.997838782903397
110,2.2720978260040283,0.0002013908922780934,,
120,2.1272705793380737,0.00017091647887189113,,
130,2.2176235914230347,0.00014190092695883955,,
135,,,2.1564351439476015,8.640281332757578
140,2.226668119430542,0.00011520663741026131,,
150,2.2141348719596863,9.162701848649271e-05,,
160,2.1563556790351868,7.186290413914186e-05,,
162,,,2.1234428524971007,8.35986979736203
170,2.189620852470398,5.6501723808984286e-05,,
180,2.158519685268402,4.600004283522049e-05,,
189,,,2.104438880085945,8.202499132444796
190,2.12119260430336,4.066999241043524e-05,,
194,2.093622922897339,4.00268156726471e-05,,
194,,,2.1003603756427767,8.169113331635328
