step,train_loss,lr,val_loss,val_perplexity
10,2.2934317588806152,7.500000000000001e-05,,
20,2.2702640295028687,8.970470940097119e-05,,
27,,,2.2781602442264557,9.758710240728915
30,2.213563323020935,8.826874449742145e-05,,
40,2.2551061511039734,8.568049411831531e-05,,
50,2.164754331111908,8.201688629827474e-05,,
54,,,2.232550394535065,9.32361467838521
60,2.242845833301544,7.738681086940272e-05,,
70,2.1970113813877106,7.19278830353016e-05,,
80,2.2216230034828186,6.580235316896868e-05,,
81,,,2.2081732630729674,9.099079577457845
90,2.207511782646179,5.919228440364609e-05,,
100,2.083502948284149,5.2294141348375154e-05,,
108,,,2.189188316464424,8.927963491924432
110,2.1077314019203186,4.531295076257102e-05,,
120,2.0950179994106293,3.8456207746175506e-05,,
130,2.204629421234131,3.19277085657389e-05,,
135,,,2.177010577917099,8.819900404226205
140,2.0766289234161377,2.59214934173088e-05,,
150,2.125328481197357,2.061607915946086e-05,,
160,2.0249985456466675,1.616915343130692e-05,,
162,,,2.1657591074705125,8.721219747773521
170,2.1108943223953247,1.2712887857021462e-05,,
180,2.090361773967743,1.0350009637924611e-05,,
189,,,2.1608398109674454,8.678422833626087
190,2.0998181104660034,9.150748292347928e-06,,
194,2.085135132074356,9.006033526345598e-06,,
194,,,2.160157236456871,8.672501184621114
