step,train_loss,lr,val_loss,val_perplexity
10,2.230990171432495,0.00014987197468975048,,
15,,,2.183157283067703,8.874280690043989
20,2.178400158882141,0.000145441875484794,,
30,2.255184829235077,0.00013508793878048273,,
30,,,2.1415380120277403,8.51251992397315
40,2.1564835906028748,0.00011978463567483412,,
45,,,2.1146155923604963,8.286399798416802
50,2.2054286003112793,0.00010097225182986559,,
60,2.1138553619384766,8.04213335474585e-05,,
60,,,2.0873231291770935,8.063301831751813
70,2.0359972715377808,6.006605103512297e-05,,
75,,,2.0685224771499633,7.913122656588381
80,2.1175861954689026,4.18221620444002e-05,,
90,2.0564904510974884,2.740670841595504e-05,,
90,,,2.0537672102451325,7.797219612752853
100,2.145565092563629,1.8176414971166936e-05,,
105,,,2.045375993847847,7.732065200378529
109,2.0559152364730835,1.5032013919347802e-05,,
109,,,2.043216872215271,7.715388740870676
