step,train_loss,lr,val_loss,val_perplexity
10,2.2344473004341125,8.99231848138503e-05,,
15,,,2.1852594345808027,8.892955394276091
20,2.1740865111351013,8.726512529087641e-05,,
30,2.234608769416809,8.105276326828966e-05,,
30,,,2.13292915225029,8.439551372265875
40,2.142759531736374,7.187078140490049e-05,,
45,,,2.1041396647691726,8.200045186216013
50,2.1925735473632812,6.0583351097919366e-05,,
60,2.1058901846408844,4.825280012847511e-05,,
60,,,2.0833393573760985,8.031243376475093
70,2.0284378826618195,3.603963062107379e-05,,
75,,,2.067639696598053,7.906140188249344
80,2.113299459218979,2.5093297226640122e-05,,
90,2.05582395195961,1.6444025049573026e-05,,
90,,,2.058261850476265,7.832344186745402
100,2.1450655460357666,1.0905848982700162e-05,,
105,,,2.0520967811346056,7.784205782497065
109,2.056146740913391,9.01920835160868e-06,,
109,,,2.0505043655633926,7.771819956308051
