step,train_loss,lr,val_loss,val_perplexity
10,2.3656920790672302,2.9974394937950095e-05,,
15,,,2.272786056995392,9.706405777637952
20,2.3404829800128937,2.90883750969588e-05,,
30,2.1815751791000366,2.701758775609655e-05,,
30,,,2.22461938560009,9.249961465281013
40,2.228056102991104,2.3956927134966828e-05,,
45,,,2.2020195007324217,9.04325793693314
50,2.285282015800476,2.0194450365973122e-05,,
60,2.2574402689933777,1.60842667094917e-05,,
60,,,2.1869993180036547,8.908441568108683
70,2.004232168197632,1.2013210207024596e-05,,
75,,,2.17769935131073,8.825977409558654
80,2.1241795122623444,8.36443240888004e-06,,
90,2.1159106492996216,5.4813416831910085e-06,,
90,,,2.1718689143657683,8.774667828783643
100,2.057204782962799,3.6352829942333873e-06,,
105,,,2.168890392780304,8.74857117526647
109,1.9270386695861816,3.0064027838695604e-06,,
109,,,2.1680765718221666,8.741454301013787
