step,train_loss,lr,val_loss,val_perplexity
5,,,2.38535426457723,10.862910327669685
10,2.336017906665802,0.00023070733553993226,,
10,,,2.348801843325297,10.473013892802816
15,,,2.324743644396464,10.224058755056204
20,2.3628780841827393,0.00015178950472152387,,
20,,,2.305685798327128,10.03105517492274
25,,,2.2836727142333983,9.812653381611563
30,2.1912328600883484,6.317409361861586e-05,,
30,,,2.259710097312927,9.580311406124066
35,,,2.248632717132568,9.474772282141117
39,2.219087064266205,2.5405282538965766e-05,,
39,,,2.2425805648167927,9.417602691171652
