step,train_loss,lr,val_loss,val_perplexity
5,,,2.2937438329060873,9.911977089223964
10,2.311666965484619,5.536976052958373e-05,,
10,,,2.2476261059443154,9.465239668978223
15,,,2.227531981468201,9.276942137648835
20,2.2022145986557007,3.6429481133165725e-05,,
20,,,2.205617920557658,9.075857994748143
25,,,2.1937156359354657,8.968474869657266
30,2.1935078501701355,1.5161782468467806e-05,,
30,,,2.1866137901941936,8.90500777809852
35,,,2.181621543566386,8.860662566264347
39,2.23597115278244,6.097267809351784e-06,,
39,,,2.1788345257441204,8.836002122285956
