step,train_loss,lr,val_loss,val_perplexity
10,2.44381320476532,0.00036363636363636367,,
20,2.59438157081604,0.00039794090540653995,,
25,,,2.6384223302205405,13.991112830446218
30,2.753061890602112,0.00038965650781462113,,
40,2.647910475730896,0.00037531371694583614,,
50,2.7696090936660767,0.00035542471042832464,,
50,,,2.707775672276815,14.99588263281292
60,2.570700168609619,0.00033069971992323165,,
70,2.854033052921295,0.0003020216689221235,,
75,,,2.666687774658203,14.392219882799184
80,2.3431597352027893,0.0002704146437604833,,
90,2.6372591257095337,0.00023700732373984566,,
100,2.6294705867767334,0.00020299267626015439,,
100,,,2.6090928236643474,13.586719708817053
110,2.795121967792511,0.00016958535623951674,,
120,2.5131418704986572,0.00013797833107787654,,
125,,,2.5522274494171144,12.83566275354215
130,2.323554515838623,0.00010930028007676836,,
140,2.5665534138679504,8.457528957167538e-05,,
150,2.4612504839897156,6.468628305416389e-05,,
150,,,2.508270597457886,12.28366827357662
160,2.4211984276771545,5.034349218537893e-05,,
170,2.3837584257125854,4.205909459346007e-05,,
175,,,2.477030070622762,11.905852317600893
177,2.229208827018738,4.0032233919447206e-05,,
177,,,2.4750993569691975,11.882887702155953
