step,train_loss,lr,val_loss,val_perplexity
10,2.1365206837654114,5.454545454545455e-05,,
20,2.1535311937332153,5.9691135810980986e-05,,
25,,,2.261417778333028,9.596685498963598
30,2.135544866323471,5.844847617219317e-05,,
40,2.140112191438675,5.629705754187542e-05,,
50,2.161766678094864,5.331370656424869e-05,,
50,,,2.2171149015426637,9.180805092937794
60,2.2680731415748596,4.9604957988484745e-05,,
70,2.6191213130950928,4.5303250338318526e-05,,
75,,,2.191078758239746,8.944857250380279
80,2.1676629781723022,4.0562196564072496e-05,,
90,2.1669071912765503,3.555109856097684e-05,,
100,2.2410191893577576,3.0448901439023155e-05,,
100,,,2.172913638750712,8.783839728453556
110,2.132202595472336,2.543780343592751e-05,,
120,2.4237181544303894,2.069674966168148e-05,,
125,,,2.1640395243962605,8.70623577269564
130,2.1433537006378174,1.6395042011515253e-05,,
140,2.2536683678627014,1.2686293435751306e-05,,
150,2.2177966833114624,9.702942458124583e-06,,
150,,,2.155726957321167,8.634164567230501
160,2.0636906921863556,7.551523827806839e-06,,
170,2.1818042397499084,6.30886418901901e-06,,
175,,,2.1515865246454875,8.598489296622843
177,2.0262672007083893,6.0048350879170804e-06,,
177,,,2.1513572454452516,8.596518067863189
