step,train_loss,lr,val_loss,val_perplexity
10,2.2875845432281494,0.00011363636363636364,,
20,2.260509729385376,0.00022727272727272727,,
30,2.1686119437217712,0.00024974724021789693,,
40,2.2187596559524536,0.0002485119665369572,,
50,2.1462146639823914,0.0002462590630574465,,
50,,,2.222855418920517,9.233659224001272
60,2.2216286659240723,0.00024300918180261588,,
70,2.2002113461494446,0.0002387921139392187,,
80,2.287775933742523,0.00023364651668642033,,
90,2.1923104524612427,0.0002276195589509543,,
100,2.2854384779930115,0.00022076648893693467,,
100,,,2.188575255870819,8.922491786741176
110,2.2546706199645996,0.00021315012769397904,,
120,2.2157945036888123,0.0002048402932462094,,
130,2.178326904773712,0.00019591316058105315,,
140,2.1984156370162964,0.00018645056336472892,,
150,2.1567020416259766,0.00017653924378548531,,
150,,,2.144123512506485,8.534557525149665
160,2.1554973125457764,0.0001662700574011658,,
170,2.1154673099517822,0.00015573714028013978,,
180,2.150697648525238,0.0001450370460702942,,
190,2.130668818950653,0.00013426786090644065,,
200,2.2251935601234436,0.00012352830426964903,,
200,,,2.101206988096237,8.176032333158782
210,2.1225445568561554,0.00011291682404079166,,
220,1.908972680568695,0.00010253069404380567,,
230,2.134834796190262,9.24651223513563e-05,,
240,2.0917820036411285,8.28123785269278e-05,,
250,2.0856111645698547,7.366094780378054e-05,,
250,,,2.070521765947342,7.9289590996044765
260,2.0994843542575836,6.509471995428716e-05,,
270,2.1392515301704407,5.719222028515941e-05,,
280,2.110376715660095,5.0025889807915e-05,,
290,2.0304082334041595,4.3661421183152144e-05,,
300,2.036127060651779,3.815715652592983e-05,,
300,,,2.044837987422943,7.7279064184489625
310,2.033949166536331,3.356355259248024e-05,,
320,1.972785860300064,2.9922718250805066e-05,,
330,2.2980369329452515,2.726802847509248e-05,,
340,2.0058789551258087,2.562381840240923e-05,,
350,2.016664981842041,2.5005160256203543e-05,,
350,,,2.03187780380249,7.6283975516979385
