step,train_loss,lr,val_loss,val_perplexity
9,,,2.0996266841888427,8.163121921189777
10,2.230306088924408,0.0002466285159843862,,
18,,,2.029365485906601,7.609256646099394
20,2.1331196427345276,0.00022085700160243292,,
27,,,1.9877019047737121,7.298741271854165
30,2.1947662234306335,0.00017540010850662475,,
36,,,1.9603605657815932,7.101887301107667
40,1.966854751110077,0.00012099282162377181,,
45,,,1.9256350100040436,6.85950313630104
50,2.0687033236026764,7.048382824460125e-05,,
54,,,1.898451143503189,6.675546966681351
60,2.0291879773139954,3.580120452361262e-05,,
63,,,1.8861593663692475,6.593994868021753
68,1.8616362512111664,2.5135511176918105e-05,,
68,,,1.8810050666332245,6.560094882408781
