step,train_loss,lr,val_loss,val_perplexity
9,,,2.4881592601537705,12.039094870112205
10,2.2966590523719788,1.9730281278750897e-05,,
18,,,2.372629126906395,10.725554090252679
20,2.167036473751068,1.7668560128194635e-05,,
27,,,2.3171292394399643,10.146504271728922
30,2.007662445306778,1.4032008680529979e-05,,
36,,,2.277798721194267,9.755182879861954
40,2.1334683299064636,9.679425729901744e-06,,
45,,,2.255329093337059,9.538431828046372
50,2.13635116815567,5.6387062595681e-06,,
54,,,2.2437682121992113,9.428794126780618
60,2.0561062395572662,2.86409636188901e-06,,
63,,,2.237435060739517,9.369268835792433
68,2.1698608100414276,2.0108408941534483e-06,,
68,,,2.2356543093919754,9.352599344202439
