step,train_loss,lr,val_loss,val_perplexity
10,2.7155274152755737,9.090909090909091e-07,,
20,3.191897392272949,1.8181818181818183e-06,,
30,2.6158168613910675,2.7272727272727276e-06,,
40,2.905855715274811,2.9990291744839757e-06,,
50,2.3488287925720215,2.9931014076897816e-06,,
60,2.3935831785202026,2.981808870245208e-06,,
70,2.5750538110733032,2.965196668106593e-06,,
75,,,2.4940861225128175,12.11066079954614
80,2.571575164794922,2.9433311556489372e-06,,
90,2.3115092515945435,2.916299670625606e-06,,
100,2.250728040933609,2.884210185313792e-06,,
110,1.94865083694458,2.847190875239186e-06,,
120,2.2404871582984924,2.805389607202499e-06,,
130,2.2667202949523926,2.7589733486528215e-06,,
140,1.8793075382709503,2.7081275007669686e-06,,
150,2.481333315372467,2.653055157898702e-06,,
150,,,2.406839483976364,11.098827631721043
160,2.349544107913971,2.593976296355824e-06,,
170,1.918113797903061,2.531126895745421e-06,,
180,2.568143665790558,2.46475799639688e-06,,
190,2.19328373670578,2.3951346966276372e-06,,
200,2.3010008931159973,2.3225350938568788e-06,,
210,1.8971560597419739,2.247249173796737e-06,,
220,2.238431394100189,2.1695776521578876e-06,,
225,,,2.3641356021165847,10.6348421082658
230,1.8610464930534363,2.089830773496159e-06,,
240,2.2917437851428986,2.0083270719979145e-06,,
250,2.2537707090377808,1.925392099154048e-06,,
260,2.1806502640247345,1.8413571234046461e-06,,
270,2.0637096762657166,1.756557806948351e-06,,
280,2.3193332850933075,1.6713328650016713e-06,,
290,2.220248371362686,1.5860227128635682e-06,,
300,2.4462489187717438,1.5009681061893858e-06,,
300,,,2.3379416942596434,10.359890779532988
310,2.457052707672119,1.416508779905283e-06,,
320,2.068873554468155,1.3329820911997822e-06,,
330,2.543891966342926,1.2507216720127542e-06,,
340,2.2363579869270325,1.1700560964042194e-06,,
350,2.398743987083435,1.091307568125914e-06,,
360,1.8796172142028809,1.0147906336378804e-06,,
370,2.5388549864292145,9.408109257106968e-07,,
375,,,2.32459399998188,10.2225288962394
380,2.461280047893524,8.696639426317887e-07,,
390,2.0178615748882294,8.016338678920667e-07,,
400,2.2264721989631653,7.369924350674305e-07,,
410,2.0299185514450073,6.759978424291572e-07,,
420,2.2208034992218018,6.188937216185692e-07,,
430,2.135222166776657,5.659081645054142e-07,,
440,2.2276554107666016,5.172528121169945e-07,,
450,2.262471377849579,4.7312200927714974e-07,,
450,,,2.3160352796316146,10.135410473051712
460,1.7823289632797241,4.3369202833173427e-07,,
470,2.288935899734497,3.991203650612672e-07,,
480,2.526554137468338,3.6954510959311107e-07,,
490,2.5842039585113525,3.450843948259467e-07,,
500,2.226481705904007,3.2583592456971653e-07,,
510,2.0274925529956818,3.118765832857903e-07,,
520,1.968714326620102,3.032621289861765e-07,,
525,,,2.312143290042877,10.096040225007757
530,2.195452928543091,3.000269705184358e-07,,
530,,,2.311964800953865,10.094238352797415
