step,train_loss,lr,val_loss,val_perplexity
10,2.2189987897872925,8.993513314512653e-05,,
16,,,2.2617283791303633,9.59966670008911
20,2.2293259501457214,8.768653654117392e-05,,
30,2.1350605487823486,8.239941319596739e-05,,
32,,,2.2022310584783553,9.045171310585546
40,2.23792827129364,7.449446284097894e-05,,
48,,,2.1709096014499663,8.766254212894056
50,2.064580261707306,6.46006873501025e-05,,
60,2.0623322129249573,5.350534066475213e-05,,
64,,,2.1493035405874252,8.578881473325591
70,2.169821321964264,4.2091286502368346e-05,,
80,2.235779047012329,3.126674833488423e-05,,
80,,,2.1357999801635743,8.463814683151906
90,2.153395175933838,2.1893041475568926e-05,,
96,,,2.1260540157556536,8.381727306566644
100,2.142934560775757,1.4716037677572745e-05,,
110,2.1840248703956604,1.0306815649193297e-05,,
112,,,2.119905748963356,8.330352306345713
118,2.004423290491104,9.016219961707976e-06,,
118,,,2.11832515001297,8.317195760584244
