step,train_loss,lr,val_loss,val_perplexity
10,2.45920330286026,0.0002498198142920181,,
16,,,2.3920806109905244,10.936224316817764
20,2.3887316584587097,0.000243573712614372,,
30,2.3468854427337646,0.00022888725887768716,,
32,,,2.406299206614494,11.092832805988468
40,2.5194411277770996,0.00020692906344716374,,
48,,,2.3997505724430086,11.020427239556717
50,2.398278534412384,0.00017944635375028475,,
60,2.412007689476013,0.00014862594629097813,,
64,,,2.3663336634635925,10.658243853449207
70,2.4075160026550293,0.0001169202402843565,,
80,2.341761350631714,8.685207870801173e-05,,
80,,,2.34306378364563,10.413091198472495
90,2.2669894695281982,6.081400409880257e-05,,
96,,,2.3179606944322586,10.154944141559719
100,2.2028888463974,4.0877882437702074e-05,,
110,2.179678052663803,2.8630043469981377e-05,,
112,,,2.297591209411621,9.950185651231099
118,2.2949272990226746,2.5045055449188825e-05,,
118,,,2.2922937750816343,9.897614565051848
