step,train_loss,lr,val_loss,val_perplexity
10,2.455256700515747,1.998558514336145e-05,,
16,,,2.294466659426689,9.91914431915553
20,2.2912567853927612,1.948589700914976e-05,,
30,2.185680001974106,1.8310980710214975e-05,,
32,,,2.2489116370677946,9.477415353597863
40,2.3548223674297333,1.6554325075773098e-05,,
48,,,2.22824487388134,9.283557957219495
50,2.199962794780731,1.4355708300022779e-05,,
60,2.258205771446228,1.1890075703278249e-05,,
64,,,2.2170860320329666,9.180540051421964
70,2.2817869186401367,9.35361922274852e-06,,
80,2.2862876653671265,6.948166296640939e-06,,
80,,,2.2083406805992127,9.100603050376288
90,2.155031681060791,4.865120327904206e-06,,
96,,,2.2039893925189973,9.061089734056017
100,2.1110698580741882,3.2702305950161654e-06,,
110,2.0528129041194916,2.29040347759851e-06,,
112,,,2.2013362467288973,9.037081205121488
118,2.2317962050437927,2.0036044359351056e-06,,
118,,,2.2004526436328886,9.02909953902151
