step,train_loss,lr,val_loss,val_perplexity
10,2.6082078218460083,6.818181818181817e-05,,
20,2.342128038406372,0.00013636363636363634,,
30,2.218101054430008,0.00014984834413073815,,
40,2.1911840438842773,0.00014910717992217432,,
50,2.3751712441444397,0.00014775543783446788,,
50,,,2.295578193664551,9.930175917540414
60,2.4880917072296143,0.0001458055090815695,,
70,2.060011625289917,0.0001432752683635312,,
80,2.2248041331768036,0.00014018791001185217,,
90,2.1687174439430237,0.00013657173537057256,,
100,2.218943476676941,0.00013245989336216078,,
100,,,2.2922251522541046,9.896935386058454
110,2.2870115637779236,0.0001278900766163874,,
120,2.341852843761444,0.00012290417594772561,,
130,2.2097414135932922,0.00011754789634863187,,
140,2.3222559690475464,0.00011187033801883732,,
150,2.410048484802246,0.00010592354627129116,,
150,,,2.2646782994270325,9.628026761122952
160,2.2183588445186615,9.976203444069945e-05,,
170,2.2795198559761047,9.344228416808384e-05,,
180,2.4714202880859375,8.70222276421765e-05,,
190,2.4150184392929077,8.056071654386438e-05,,
200,2.299171566963196,7.41169825617894e-05,,
200,,,2.2549739688634873,9.53504509885554
210,2.159807473421097,6.775009442447499e-05,,
220,2.235425889492035,6.151841642628339e-05,,
230,2.238605260848999,5.547907341081377e-05,,
240,2.3479090332984924,4.968742711615667e-05,,
250,2.1686448454856873,4.419656868226832e-05,,
250,,,2.217986622452736,9.188811681957123
260,2.204595923423767,3.905683197257229e-05,,
270,2.18845272064209,3.431533217109564e-05,,
280,2.24675053358078,3.0015533884748998e-05,,
290,2.120162844657898,2.619685270989128e-05,,
300,2.157061755657196,2.2894293915557895e-05,,
300,,,2.2016847729682922,9.040231413982353
310,2.302879810333252,2.0138131555488145e-05,,
320,2.1905852556228638,1.795363095048304e-05,,
330,2.598018765449524,1.636081708505549e-05,,
340,2.0682201981544495,1.5374291041445537e-05,,
350,2.285768210887909,1.5003096153722124e-05,,
350,,,2.190679258108139,8.941284492437697
