step,train_loss,lr,val_loss,val_perplexity
10,2.849339485168457,0.00014997967026199376,,
19,,,2.8494655302592684,17.278544513045404
20,2.7417672276496887,0.00014755488444119218,,
30,2.7312082648277283,0.000141230871899838,,
38,,,2.8304322957992554,16.952787859681063
40,2.645728051662445,0.000131386678099224,,
50,2.6878620386123657,0.00011861233934237905,,
57,,,2.8105177027838573,16.61851944593572
60,2.849188446998596,0.00010367351747692517,,
70,2.8487632870674133,8.746560804297754e-05,,
76,,,2.793510522161211,16.33827512184459
80,2.6531055569648743,7.096007250867965e-05,,
90,2.6773452162742615,5.514621130466318e-05,,
95,,,2.776594362940107,16.06421878402604
100,2.816848397254944,4.0971867635807694e-05,,
110,2.796817362308502,2.928661613520408e-05,,
114,,,2.7684848717280794,15.934472940406252
120,2.4489256739616394,2.0790841490011677e-05,,
130,2.795518219470978,1.5993759138746467e-05,,
133,,,2.761001399585179,15.815672829129895
136,2.625962018966675,1.5020329738006214e-05,,
136,,,2.7604274988174438,15.806598806394367
