step,train_loss,lr,val_loss,val_perplexity
10,2.8710681200027466,3.3333333333333335e-05,,
20,2.740200996398926,6.666666666666667e-05,,
30,2.7087257504463196,8.999507772498658e-05,,
40,2.6218119859695435,8.98229236977166e-05,,
50,2.6622544527053833,8.940585109665e-05,,
60,2.8165213465690613,8.87463931911347e-05,,
61,,,2.7827807085854666,16.163905624647896
70,2.832048535346985,8.784855548163763e-05,,
80,2.6370922327041626,8.671779137061935e-05,,
90,2.660128951072693,8.5360969038955e-05,,
100,2.803580582141876,8.378632972909166e-05,,
110,2.7883699536323547,8.200343768832712e-05,,
120,2.4403003454208374,8.002312207625136e-05,,
122,,,2.75308404309409,15.690948902610938
130,2.7859415411949158,7.785741118920058e-05,,
140,2.260827362537384,7.55194594012397e-05,,
150,2.3682555556297302,7.302346726542895e-05,,
160,2.3449336290359497,7.03845952606734e-05,,
170,2.1774438619613647,6.761887170805123e-05,,
180,2.2203905284404755,6.474309541593013e-05,,
183,,,2.7669884545462473,15.9106461531679
190,2.2069670259952545,6.177473364519881e-05,,
200,2.171992987394333,5.8731816014365404e-05,,
210,2.3912180066108704,5.563282498893536e-05,,
220,2.0725854337215424,5.249658362022927e-05,,
230,2.1817618310451508,4.934214121550627e-05,,
240,2.1833830773830414,4.61886576338252e-05,,
244,,,2.7692167793001445,15.946139770808141
250,2.243187367916107,4.305528691042186e-05,,
260,2.3030436038970947,3.996106091645978e-05,,
270,2.4447885751724243,3.6924773760796925e-05,,
280,2.028001308441162,3.396486763590366e-05,,
290,1.9413945376873016,3.1099320801295984e-05,,
300,1.9870510399341583,2.834553838486444e-05,,
305,,,2.815975683076041,16.709470977606966
310,1.9773622751235962,2.572024666536388e-05,,
320,1.9755017161369324,2.3239391478184626e-05,,
330,1.8425056636333466,2.0918041361481164e-05,,
340,1.894752562046051,1.8770296030941973e-05,,
350,2.0986459851264954,1.6809200739118105e-05,,
360,2.008410543203354,1.504666703948605e-05,,
366,,,2.8173247541700093,16.732028454297033
370,1.8403718173503876,1.3493400436518089e-05,,
380,1.7851325273513794,1.2158835361208786e-05,,
390,1.98552805185318,1.1051077867011355e-05,,
400,2.0160152912139893,1.0176856394244894e-05,,
410,1.709086298942566,9.541480902025889e-06,,
420,2.005824029445648,9.148810615953804e-06,,
427,,,2.843311725343977,17.172542214145267
430,1.9300905764102936,9.001230587448982e-06,,
430,,,2.843302423613412,17.17238248052738
