step,train_loss,lr,val_loss,val_perplexity
6,,,2.913728415966034,18.425368096311807
10,2.7848681211471558,0.000239362926717979,,
12,,,2.9174785216649375,18.494594896994347
18,,,2.914721349875132,18.44367235503796
20,2.8081740140914917,0.00018149928105514254,,
24,,,2.910669465859731,18.36909193148727
30,2.6554033160209656,0.00010117595446321233,,
30,,,2.892921487490336,18.04595369254413
36,,,2.8764060537020364,17.75036454934936
40,2.7281916737556458,3.9394441583821635e-05,,
42,,,2.8694231311480203,17.626846887434755
46,2.6247830390930176,2.530011808785044e-05,,
46,,,2.8660396536191306,17.567307628757895
