step,train_loss,lr,val_loss,val_perplexity
6,,,2.9832675457000732,19.7522527019334
10,2.785824418067932,9.57451706871916e-06,,
12,,,2.9219944874445596,18.578304727758283
18,,,2.902809977531433,18.22528612812511
20,2.830352783203125,7.2599712422057016e-06,,
24,,,2.887626528739929,17.950653639711945
30,2.6809632778167725,4.047038178528493e-06,,
30,,,2.8789196411768594,17.79503776485072
36,,,2.8752708633740744,17.7302259399351
40,2.7325258255004883,1.5757776633528652e-06,,
42,,,2.8729979395866394,17.68997225175215
46,2.7198473811149597,1.0120047235140176e-06,,
46,,,2.8719579776128135,17.671584916014464
