step,train_loss,lr,val_loss,val_perplexity
10,2.88114732503891,9e-05,,
20,2.8444249033927917,8.889203766565493e-05,,
20,,,2.806745628515879,16.555951236516048
30,2.6850094199180603,8.562877192357415e-05,,
40,2.709408402442932,8.038874971347047e-05,,
40,,,2.784779886404673,16.196252469017914
50,2.6326430439949036,7.345867460274767e-05,,
60,2.5703470706939697,6.521772003322611e-05,,
60,,,2.777716875076294,16.08226118908429
70,2.6578540205955505,5.6116783153650474e-05,,
80,2.484325885772705,4.665381434771565e-05,,
80,,,2.7657989859580994,15.891732190363898
90,2.880636990070343,3.734657228248621e-05,,
100,2.8345864713191986,2.8704295162648895e-05,,
100,,,2.759749472141266,15.795885143229144
110,2.609333872795105,2.1199838174956916e-05,,
120,3.1215043663978577,1.5243801600006555e-05,,
120,,,2.7504349748293557,15.649437515354494
130,2.7728647589683533,1.1162065150737418e-05,,
140,2.6526530385017395,9.177957728113128e-06,,
140,,,2.744289437929789,15.553558236231154
143,2.390617609024048,9.011130003052457e-06,,
143,,,2.7438454031944275,15.546653449211886
