step,train_loss,lr,val_loss,val_perplexity
10,2.9581220746040344,0.00014997967026199376,,
19,,,2.8919145686285836,18.027792026589292
20,3.0265125036239624,0.00014755488444119218,,
30,2.6783540844917297,0.000141230871899838,,
38,,,2.8843500886644637,17.891935644271122
40,2.8387526869773865,0.000131386678099224,,
50,3.1794647574424744,0.00011861233934237905,,
57,,,2.8862255130495345,17.92552210126049
60,2.813583254814148,0.00010367351747692517,,
70,2.721470922231674,8.746560804297754e-05,,
76,,,2.86916846547808,17.622358506205792
80,2.857689619064331,7.096007250867965e-05,,
90,2.88518226146698,5.514621130466318e-05,,
95,,,2.859231185913086,17.44810742790677
100,2.8545963168144226,4.0971867635807694e-05,,
110,2.5239681899547577,2.928661613520408e-05,,
114,,,2.845698046684265,17.213570351788427
120,3.2517417669296265,2.0790841490011677e-05,,
130,2.9582834243774414,1.5993759138746467e-05,,
133,,,2.838063621520996,17.082655004715114
136,2.7618338465690613,1.5020329738006214e-05,,
136,,,2.837162276676723,17.067264578782616
