step,train_loss,lr,val_loss,val_perplexity
10,2.9812982082366943,2.2222222222222223e-05,,
20,2.991061508655548,4.4444444444444447e-05,,
30,2.7056543827056885,5.999671848332439e-05,,
40,2.529548406600952,5.988194913181106e-05,,
50,2.645651876926422,5.9603900731099995e-05,,
60,2.348786413669586,5.9164262127423125e-05,,
61,,,2.708201375272539,15.002267783965797
70,2.947685420513153,5.8565703654425084e-05,,
80,2.837977886199951,5.781186091374622e-05,,
90,2.8762887120246887,5.6907312692636665e-05,,
100,2.7999572157859802,5.585755315272777e-05,,
110,2.4840501844882965,5.466895845888474e-05,,
120,2.425426185131073,5.334874805083424e-05,,
122,,,2.692873537540436,14.774068823862594
130,2.869780659675598,5.1904940792800376e-05,,
140,2.5204920172691345,5.034630626749312e-05,,
150,2.2769031822681427,4.8682311510285956e-05,,
160,2.8317317962646484,4.692306350711561e-05,,
170,2.555678755044937,4.507924780536749e-05,,
180,2.4132907390594482,4.3162063610620085e-05,,
183,,,2.680376998252339,14.590592887166551
190,2.557886302471161,4.1183155763465875e-05,,
200,3.0056416392326355,3.915454400957693e-05,,
210,2.477405071258545,3.708854999262357e-05,,
220,2.9715717434883118,3.499772241348617e-05,,
230,2.6900352835655212,3.2894760810337514e-05,,
240,2.9914737343788147,3.0792438422550135e-05,,
244,,,2.672423728638225,14.475010207472028
250,2.7314504981040955,2.8703524606947902e-05,,
260,2.513369560241699,2.6640707277639853e-05,,
270,2.7503138184547424,2.4616515840531283e-05,,
280,2.8366904854774475,2.2643245090602442e-05,,
290,2.5968586802482605,2.0732880534197325e-05,,
300,2.9125598073005676,1.8897025589909625e-05,,
305,,,2.6645774294932685,14.361879356908172
310,2.6617924571037292,1.7146831110242583e-05,,
320,2.672004759311676,1.5492927652123086e-05,,
330,2.3718142807483673,1.3945360907654109e-05,,
340,3.0755423307418823,1.2513530687294646e-05,,
350,2.4849426448345184,1.1206133826078736e-05,,
360,2.5289376974105835,1.0031111359657367e-05,,
366,,,2.6596476617786617,14.291252856887173
370,2.5390686988830566,8.99560029101206e-06,,
380,2.5561517775058746,8.105890240805857e-06,,
390,2.4907022416591644,7.367385244674236e-06,,
400,2.8989911675453186,6.784570929496596e-06,,
410,2.446164846420288,6.360987268017259e-06,,
420,3.095978558063507,6.099207077302537e-06,,
427,,,2.6554290056228638,14.231089967546986
430,1.993907354772091,6.000820391632655e-06,,
430,,,2.655422545141644,14.2309980281545
