step,train_loss,lr,val_loss,val_perplexity
10,2.6018694192171097,0.00014997967026199376,,
19,,,2.764342394140032,15.868601273522263
20,2.853119060397148,0.00014755488444119218,,
30,2.862361803650856,0.000141230871899838,,
38,,,2.7345784737004175,15.403249192644589
40,2.7598552852869034,0.000131386678099224,,
50,2.8325075954198837,0.00011861233934237905,,
57,,,2.721625910864936,15.205024171949132
60,2.706644043326378,0.00010367351747692517,,
70,2.7479371577501297,8.746560804297754e-05,,
76,,,2.707659363746643,14.994138585171044
80,2.77846197783947,7.096007250867965e-05,,
90,2.7730980068445206,5.514621130466318e-05,,
95,,,2.6914592583974204,14.753188934943537
100,2.848883256316185,4.0971867635807694e-05,,
110,2.6545817255973816,2.928661613520408e-05,,
114,,,2.684001213974423,14.643568282447273
120,2.592045933008194,2.0790841490011677e-05,,
130,2.709158018231392,1.5993759138746467e-05,,
133,,,2.6772052943706512,14.544389158076639
136,2.731398805975914,1.5020329738006214e-05,,
136,,,2.6763920154836445,14.532565322139742
