step,train_loss,lr,val_loss,val_perplexity
10,2.396387219429016,1.4999999999999999e-05,,
20,2.315075635910034,2.9999999999999997e-05,,
30,2.182129383087158,4.4999999999999996e-05,,
40,2.173366904258728,5.9999999999999995e-05,,
50,2.1022687554359436,7.5e-05,,
60,2.1699209809303284,8.999999999999999e-05,,
70,2.1346875429153442,0.00010499999999999999,,
80,2.2217354774475098,0.00011999999999999999,,
90,2.1280592679977417,0.00013499999999999997,,
100,2.232612729072571,0.00015,,
110,2.199373185634613,0.0001499880087857046,,
120,2.1744132041931152,0.00014994656314426815,,
130,2.127122223377228,0.00014987553321110686,,
140,2.15902841091156,0.000149774950142297,,
150,2.1246142983436584,0.00014964485805689682,,
160,2.11365282535553,0.0001494853140175946,,
170,2.1023844480514526,0.00014929638800567893,,
180,2.129452705383301,0.00014907816289034268,,
190,2.114758789539337,0.0001488307343923339,,
200,2.211936444044113,0.00014855421104196934,,
210,2.1171986162662506,0.00014824871413152973,,
220,1.9261670112609863,0.00014791437766205665,,
228,,,2.0800103843212128,8.004552035704275
230,2.13594388961792,0.00014755134828457566,,
240,2.0809505879879,0.00014715978523576986,,
250,2.1258180141448975,0.00014673986026813375,,
260,2.107262998819351,0.0001462917575746368,,
270,2.1591213941574097,0.00014581567370793036,,
280,2.1418548226356506,0.000145311817494133,,
290,2.0552574694156647,0.00014478040994123274,,
300,2.0539440512657166,0.00014422168414214548,,
310,2.0591474175453186,0.0001436358851724727,,
320,1.994269073009491,0.00014302326998300342,,
330,2.3166633248329163,0.0001423841072870068,,
340,2.0295112431049347,0.00014171867744236584,,
350,2.040109544992447,0.00014102727232860306,,
360,1.7362523674964905,0.00014031019521885255,,
370,1.7815966606140137,0.0001395677606468342,,
380,1.6794483959674835,0.00013880029426888905,,
390,1.7672488987445831,0.00013800813272113544,,
400,1.649121105670929,0.00013719162347180939,,
410,1.6124834418296814,0.00013635112466885352,,
420,1.707337111234665,0.00013548700498282164,,
430,1.7599959671497345,0.00013459964344516735,,
440,1.7496092915534973,0.00013368942928198871,,
450,1.692652553319931,0.00013275676174330053,,
456,,,2.0869915813207625,8.06062890444069
460,1.8342628479003906,0.00013180204992791026,,
470,1.7249792218208313,0.00013082571260397357,,
480,1.7524951100349426,0.00012982817802530908,,
490,1.7218214869499207,0.00012880988374355177,,
500,1.785145103931427,0.00012777127641622858,,
510,1.7100988328456879,0.00012671281161083956,,
520,1.7884618937969208,0.00012563495360503092,,
530,1.706245630979538,0.0001245381751829476,,
540,1.7875138819217682,0.0001234229574278543,,
550,1.6811594367027283,0.0001222897895111168,,
560,1.8209126889705658,0.00012113916847763487,,
570,1.799021601676941,0.00011997159902782219,,
580,1.7769833505153656,0.00011878759329622798,,
590,1.6679778099060059,0.00011758767062689786,,
600,1.7837488055229187,0.00011637235734557245,,
610,1.7144830226898193,0.00011514218652882338,,
620,1.7420693635940552,0.00011389769777022842,,
630,1.7595461905002594,0.0001126394369436878,,
640,1.7711220383644104,0.00011136795596398602,,
650,1.8159433901309967,0.00011008381254470356,,
660,1.6701090037822723,0.00010878756995358543,,
670,1.8637193143367767,0.00010747979676547337,,
680,1.7671078145503998,0.00010616106661290996,,
684,,,2.0719457894563673,7.940258166923766
690,1.734480619430542,0.00010483195793452458,,
700,1.8956683576107025,0.000103493053721311,,
710,1.2932604849338531,0.00010214494126090832,,
720,1.3211726248264313,0.00010078821187999726,,
730,1.4033268690109253,9.942346068492456e-05,,
740,1.3691390454769135,9.805128630066986e-05,,
750,1.3847813308238983,9.667229060826887e-05,,
760,1.3205016553401947,9.528707848080848e-05,,
770,1.2942497432231903,9.389625751810951e-05,,
780,1.3210965394973755,9.250043778021331e-05,,
790,1.3746522068977356,9.110023151978912e-05,,
800,1.2863812744617462,8.969625291358003e-05,,
810,1.4182442128658295,8.828911779300467e-05,,
820,1.40005823969841,8.687944337403317e-05,,
830,1.3753249645233154,8.546784798645586e-05,,
840,1.3572999238967896,8.405495080266341e-05,,
850,1.3866874873638153,8.264137156605728e-05,,
860,1.3534095883369446,8.122773031920995e-05,,
870,1.4047021567821503,7.981464713189346e-05,,
880,1.409060537815094,7.840274182909671e-05,,
890,1.331017017364502,7.699263371914935e-05,,
900,1.306728184223175,7.558494132207296e-05,,
910,1.3352162837982178,7.418028209827747e-05,,
912,,,2.1543930560350417,8.622655121948146
920,1.3693920075893402,7.277927217772296e-05,,
930,1.3324697315692902,7.138252608966437e-05,,
940,1.3460168838500977,6.999065649309879e-05,,
950,1.4145860970020294,6.860427390803302e-05,,
960,1.3876583874225616,6.72239864476892e-05,,
970,1.5447555780410767,6.58503995517664e-05,,
980,1.3821130394935608,6.448411572087466e-05,,
990,1.4038708806037903,6.312573425225824e-05,,
1000,1.3918176591396332,6.177585097692429e-05,,
1010,1.3910870254039764,6.0435057998291384e-05,,
1020,1.4356497526168823,5.9103943432473555e-05,,
1030,1.4178997576236725,5.778309115031319e-05,,
1040,1.4344312250614166,5.647308052127573e-05,,
1050,1.4332920610904694,5.517448615931938e-05,,
1060,1.0527375936508179,5.388787767085024e-05,,
1070,0.9780668318271637,5.261381940487415e-05,,
1080,1.12363600730896,5.135287020545458e-05,,
1090,1.0495817959308624,5.010558316658516e-05,,
1100,1.0870938152074814,4.8872505389584365e-05,,
1110,0.9954241663217545,4.765417774311879e-05,,
1120,1.0239655077457428,4.6451134625960275e-05,,
1130,1.0134867876768112,4.5263903732580954e-05,,
1140,1.023330956697464,4.409300582168901e-05,,
1140,,,2.2620725989341737,9.602971664261686
1150,1.0680390894412994,4.2938954487806706e-05,,
1160,1.0486702769994736,4.180225593599084e-05,,
1170,1.0507539063692093,4.0683408759794435e-05,,
1180,1.0677622854709625,3.958290372256726e-05,,
1190,1.0576350837945938,3.8501223542190695e-05,,
1200,1.1324160993099213,3.743884267934163e-05,,
1210,1.0377005636692047,3.639622712937863e-05,,
1220,1.054324671626091,3.5373834217940605e-05,,
1230,1.01550954580307,3.4372112400348925e-05,,
1240,0.9963240772485733,3.339150106490001e-05,,
1250,1.1270388960838318,3.2432430340135106e-05,,
1260,1.0723349750041962,3.149532090617166e-05,,
1270,1.1197121739387512,3.058058381017918e-05,,
1280,1.1189757287502289,2.9688620286080303e-05,,
