step,train_loss,lr,val_loss,val_perplexity
10,2.3360994458198547,4.0909090909090915e-05,,
20,2.2672287225723267,8.181818181818183e-05,,
30,2.1379069685935974,8.990900647844291e-05,,
40,2.1613557934761047,8.94643079533046e-05,,
50,2.0769892930984497,8.865326270068075e-05,,
50,,,2.151543912291527,8.59812290255992
60,2.1554178595542908,8.748330544894172e-05,,
70,2.121734917163849,8.596516101811874e-05,,
80,2.2031902074813843,8.411274600711132e-05,,
90,2.1141193211078644,8.194304122234354e-05,,
100,2.214149832725525,7.947593601729649e-05,,
100,,,2.1020449846982956,8.182886692035897
110,2.173896551132202,7.673404596983246e-05,,
120,2.14770770072937,7.374250556863539e-05,,
130,2.1053710281848907,7.052873780917914e-05,,
140,2.1319941878318787,6.71222028113024e-05,,
150,2.0958821773529053,6.35541277627747e-05,,
150,,,2.0757442742586134,7.97047647245019
160,2.0849230885505676,5.9857220664419686e-05,,
170,2.0650371313095093,5.606537050085032e-05,,
180,2.094563752412796,5.2213336585305915e-05,,
190,2.07967209815979,4.8336429926318646e-05,,
200,2.1728445887565613,4.447018953707365e-05,,
200,,,2.052571201324463,7.787899643034011
210,2.07868230342865,4.0650056654685e-05,,
220,1.891055166721344,3.6911049855770045e-05,,
230,2.097843110561371,3.328744404648827e-05,,
240,2.051188111305237,2.981245626969401e-05,,
250,2.065770983695984,2.6517941209360996e-05,,
250,,,2.03823983669281,7.67708437719648
260,2.081077456474304,2.3434099183543377e-05,,
270,2.1198009848594666,2.0589199302657388e-05,,
280,2.0919479727745056,1.80093203308494e-05,,
290,2.017187386751175,1.571811162593477e-05,,
300,2.0116555094718933,1.3736576349334739e-05,,
300,,,2.0265779376029966,7.588075011774142
310,2.0252021849155426,1.2082878933292888e-05,,
320,1.9584336876869202,1.0772178570289824e-05,,
330,2.2727402448654175,9.816490251033292e-06,,
340,1.9887819588184357,9.224574624867322e-06,,
350,2.0014896392822266,9.001857692233275e-06,,
350,,,2.021704983711243,7.551188617953769
