step,train_loss,lr,val_loss,val_perplexity
10,2.7082184553146362,9e-06,,
20,2.418053150177002,1.8e-05,,
30,2.2243853211402893,2.7000000000000002e-05,,
40,2.168013334274292,3.6e-05,,
50,2.315690815448761,4.5e-05,,
60,2.42905330657959,5.4000000000000005e-05,,
70,1.9722792208194733,6.3e-05,,
80,2.1449233293533325,7.2e-05,,
90,2.075581669807434,8.100000000000002e-05,,
100,2.1793529987335205,9e-05,,
110,2.232435703277588,8.999280527142277e-05,,
120,2.264897108078003,8.99679378865609e-05,,
130,2.1218987107276917,8.992531992666413e-05,,
140,2.2596275806427,8.986497008537822e-05,,
150,2.357296586036682,8.978691483413811e-05,,
160,2.1652992367744446,8.969118841055677e-05,,
170,2.2307124733924866,8.957783280340736e-05,,
180,2.4380385279655457,8.944689773420563e-05,,
190,2.3476783633232117,8.929844063540036e-05,,
200,2.24574476480484,8.913252662518163e-05,,
210,2.103036016225815,8.894922847891784e-05,,
220,2.2057527601718903,8.8748626597234e-05,,
228,,,2.205574116110802,9.075460440516324
230,2.216372489929199,8.853080897074541e-05,,
240,2.3216647505760193,8.829587114146193e-05,,
250,2.1498926281929016,8.804391616088026e-05,,
260,2.18685781955719,8.77750545447821e-05,,
270,2.1757136285305023,8.748940422475823e-05,,
280,2.2249289751052856,8.718709049647981e-05,,
290,2.1268418431282043,8.686824596473966e-05,,
300,2.188258707523346,8.65330104852873e-05,,
310,2.2862656712532043,8.618153110348364e-05,,
320,2.1963669061660767,8.581396198980207e-05,,
330,2.604841947555542,8.543046437220409e-05,,
340,2.057158201932907,8.503120646541952e-05,,
350,2.2865601778030396,8.461636339716185e-05,,
360,2.1932197213172913,8.418611713131154e-05,,
370,2.0941163301467896,8.374065638810054e-05,,
380,2.1610378324985504,8.328017656133344e-05,,
390,2.2673522233963013,8.280487963268127e-05,,
400,2.1521922945976257,8.231497408308563e-05,,
410,2.2181631326675415,8.181067480131214e-05,,
420,2.189170777797699,8.129220298969299e-05,,
430,2.2130678594112396,8.075978606710043e-05,,
440,2.163781851530075,8.021365756919324e-05,,
450,2.3740546703338623,7.965405704598033e-05,,
456,,,2.2000368416309355,9.025346001775581
460,2.0634308755397797,7.908122995674617e-05,,
470,2.3951528072357178,7.849542756238417e-05,,
480,2.2306395769119263,7.789690681518547e-05,,
490,2.37417870759964,7.728593024613109e-05,,
500,2.1039310097694397,7.666276584973716e-05,,
510,2.2364063262939453,7.602768696650375e-05,,
520,2.2248334288597107,7.538097216301857e-05,,
530,2.0641272366046906,7.472290510976857e-05,,
540,2.1507389843463898,7.40537744567126e-05,,
550,2.2920616269111633,7.33738737066701e-05,,
560,2.1388237178325653,7.268350108658094e-05,,
570,2.0555947721004486,7.198295941669332e-05,,
580,2.268989086151123,7.127255597773681e-05,,
590,2.1104736328125,7.055260237613873e-05,,
600,2.1320128440856934,6.982341440734348e-05,,
610,2.2486943006515503,6.908531191729404e-05,,
620,2.3343390226364136,6.833861866213706e-05,,
630,2.100727140903473,6.75836621662127e-05,,
640,2.2912020087242126,6.682077357839163e-05,,
650,2.2744712233543396,6.605028752682214e-05,,
660,2.2222647666931152,6.527254197215127e-05,,
670,2.277229964733124,6.448787805928404e-05,,
680,1.8732234835624695,6.369663996774599e-05,,
684,,,2.1770095229148865,8.81989109921667
690,2.2445937991142273,6.289917476071475e-05,,
700,2.1682586669921875,6.209583223278661e-05,,
710,2.1549495458602905,6.1286964756545e-05,,
720,2.1351031064987183,6.047292712799837e-05,,
730,2.2069663405418396,5.9654076410954754e-05,,
740,2.2145788073539734,5.883077178040193e-05,,
750,2.146511971950531,5.800337436496133e-05,,
760,2.2511414289474487,5.71722470884851e-05,,
770,2.124137371778488,5.633775451086572e-05,,
780,2.2561139464378357,5.5500262668128e-05,,
790,2.5541874766349792,5.466013891187349e-05,,
800,2.1175275444984436,5.381775174814803e-05,,
810,2.2126176357269287,5.297347067580281e-05,,
820,2.08897203207016,5.212766602441992e-05,,
830,2.2031917572021484,5.128070879187353e-05,,
840,2.086095154285431,5.043297048159806e-05,,
850,2.102915108203888,4.9584822939634384e-05,,
860,2.0705672800540924,4.8736638191525975e-05,,
870,1.971194565296173,4.788878827913609e-05,,
880,2.1021928191184998,4.7041645097458036e-05,,
890,2.218387722969055,4.6195580231489626e-05,,
900,2.41051185131073,4.535096479324378e-05,,
910,1.8676831722259521,4.45081692589665e-05,,
912,,,2.164520823955536,8.710427088694347
920,2.1223594546318054,4.366756330663379e-05,,
930,2.254611760377884,4.282951565379863e-05,,
940,1.9117186963558197,4.199439389585929e-05,,
950,2.390866279602051,4.116256434481982e-05,,
960,2.5180745720863342,4.033439186861353e-05,,
970,2.1123732030391693,3.951023973105985e-05,,
980,2.322938323020935,3.86904694325248e-05,,
990,2.23041307926178,3.787544055135495e-05,,
1000,1.8995350897312164,3.706551058615458e-05,,
1010,2.2820894718170166,3.6261034798974836e-05,,
1020,2.1710516214370728,3.5462366059484144e-05,,
1030,2.312733292579651,3.4669854690187916e-05,,
1040,2.2855667769908905,3.3883848312765446e-05,,
1050,2.225893557071686,3.310469169559163e-05,,
1060,2.338665723800659,3.2332726602510155e-05,,
1070,2.2208313941955566,3.15682916429245e-05,,
1080,2.035575717687607,3.081172212327275e-05,,
1090,2.14567232131958,3.00633498999511e-05,,
1100,1.9376055002212524,2.9323503233750627e-05,,
1110,2.2059822380542755,2.859250664587128e-05,,
1120,2.114810585975647,2.7870680775576166e-05,,
1130,2.161359041929245,2.7158342239548577e-05,,
1140,2.105147063732147,2.6455803493013413e-05,,
1140,,,2.1510545134544374,8.593916020715762
1150,2.237557530403137,2.576337269268403e-05,,
1160,2.262696087360382,2.508135356159451e-05,,
1170,2.228241741657257,2.4410045255876668e-05,,
1180,1.8263712525367737,2.3749742233540362e-05,,
1190,2.2547079622745514,2.310073412531442e-05,,
1200,2.285778284072876,2.2463305607604983e-05,,
1210,2.0471271872520447,2.183773627762718e-05,,
1220,2.085910737514496,2.1224300530764363e-05,,
1230,2.170390695333481,2.0623267440209358e-05,,
1240,2.053073674440384,2.0034900638940012e-05,,
1250,2.3521546125411987,1.9459458204081066e-05,,
1260,1.9802073538303375,1.8897192543703e-05,,
1270,2.069081664085388,1.8348350286107508e-05,,
1280,2.3055734634399414,1.7813172171648182e-05,,
1290,1.9988029599189758,1.7291892947133825e-05,,
1300,2.413877487182617,1.678474126286074e-05,,
1310,2.0354956090450287,1.629193957231918e-05,,
1320,2.0399330854415894,1.581370403461787e-05,,
1330,2.307818830013275,1.5350244419669444e-05,,
1340,2.0868632793426514,1.4901764016178551e-05,,
1350,2.207166761159897,1.446845954247254e-05,,
1360,2.341356873512268,1.4050521060214435e-05,,
1368,,,2.138960611820221,8.490608003378991
1370,2.0606782138347626,1.3648131891035567e-05,,
1380,2.358410060405731,1.3261468536124606e-05,,
1390,2.0167798697948456,1.2890700598808362e-05,,
1400,2.2703020870685577,1.2535990710158138e-05,,
