step,train_loss,lr,val_loss,val_perplexity
10,2.305895209312439,6.818181818181817e-05,,
20,2.258638858795166,0.00013636363636363634,,
30,2.137123763561249,0.00014984834413073815,,
40,2.172886610031128,0.00014910717992217432,,
50,2.0879114270210266,0.00014775543783446788,,
50,,,2.1673363536596297,8.734986112004023
60,2.168744921684265,0.0001458055090815695,,
70,2.1391793489456177,0.0001432752683635312,,
80,2.2269458174705505,0.00014018791001185217,,
90,2.133756071329117,0.00013657173537057256,,
100,2.2262354493141174,0.00013245989336216078,,
100,,,2.1211209267377855,8.34048131835026
110,2.1959400177001953,0.0001278900766163874,,
120,2.1624226570129395,0.00012290417594772561,,
130,2.124174475669861,0.00011754789634863187,,
140,2.15091210603714,0.00011187033801883732,,
150,2.1117023825645447,0.00010592354627129116,,
150,,,2.0941471964120866,8.118514518870915
160,2.104017913341522,9.976203444069945e-05,,
170,2.0744509398937225,9.344228416808384e-05,,
180,2.104436933994293,8.70222276421765e-05,,
190,2.09111350774765,8.056071654386438e-05,,
200,2.1846173107624054,7.41169825617894e-05,,
200,,,2.0623214185237884,7.864204747244405
210,2.0891460478305817,6.775009442447499e-05,,
220,1.8897248804569244,6.151841642628339e-05,,
230,2.106989085674286,5.547907341081377e-05,,
240,2.0580324232578278,4.968742711615667e-05,,
250,2.06339231133461,4.419656868226832e-05,,
250,,,2.0421574473381043,7.707219194376095
260,2.0772111415863037,3.905683197257229e-05,,
270,2.1193472146987915,3.431533217109564e-05,,
280,2.0866976380348206,3.0015533884748998e-05,,
290,2.015163153409958,2.619685270989128e-05,,
300,2.0136383771896362,2.2894293915557895e-05,,
300,,,2.025050923228264,7.57649675448709
310,2.0180478394031525,2.0138131555488145e-05,,
320,1.9564986824989319,1.795363095048304e-05,,
330,2.276804029941559,1.636081708505549e-05,,
340,1.9884196817874908,1.5374291041445537e-05,,
350,1.999729961156845,1.5003096153722124e-05,,
350,,,2.0174733847379684,7.519302528104058
