step,train_loss,lr,val_loss,val_perplexity
10,2.405194878578186,1.3636363636363638e-05,,
20,2.317934215068817,2.7272727272727276e-05,,
30,2.191023111343384,2.9969668826147633e-05,,
40,2.182710826396942,2.9821435984434866e-05,,
50,2.113438367843628,2.9551087566893578e-05,,
50,,,2.183409160375595,8.876516201499161
60,2.18644642829895,2.9161101816313905e-05,,
70,2.1517302989959717,2.8655053672706242e-05,,
80,2.2324652075767517,2.803758200237044e-05,,
90,2.1300913095474243,2.7314347074114514e-05,,
100,2.2464904189109802,2.6491978672432158e-05,,
100,,,2.1294613778591156,8.410335598278309
110,2.1960968375205994,2.5578015323277482e-05,,
120,2.1791807413101196,2.4580835189545126e-05,,
130,2.1277619004249573,2.350957926972638e-05,,
140,2.154089033603668,2.2374067603767466e-05,,
150,2.121823251247406,2.1184709254258235e-05,,
150,,,2.1025382548570635,8.186924061528739
160,2.1041768193244934,1.9952406888139895e-05,,
170,2.106121748685837,1.8688456833616774e-05,,
180,2.1323224902153015,1.7404445528435303e-05,,
190,2.1097605228424072,1.611214330877288e-05,,
200,2.1999719738960266,1.4823396512357882e-05,,
200,,,2.0875558227300646,8.065178328419593
210,2.1083680987358093,1.3550018884894998e-05,,
220,1.9488862752914429,1.230368328525668e-05,,
230,2.1329851746559143,1.1095814682162756e-05,,
240,2.0808017253875732,9.937485423231337e-06,,
250,2.130715012550354,8.839313736453664e-06,,
250,,,2.075812888145447,7.9710233765832745
260,2.1250026524066925,7.81136639451446e-06,,
270,2.172789752483368,6.863066434219129e-06,,
280,2.146309554576874,6.0031067769498e-06,,
290,2.065463125705719,5.239370541978257e-06,,
300,2.0514142215251923,4.57885878311158e-06,,
300,,,2.0711865186691285,7.934231649023502
310,2.0808290243148804,4.027626311097629e-06,,
320,2.001267224550247,3.590726190096608e-06,,
330,2.305833160877228,3.2721634170110973e-06,,
340,2.0234047770500183,3.074858208289107e-06,,
350,2.040813446044922,3.000619230744425e-06,,
350,,,2.067843559384346,7.907752120317842
