step,train_loss,lr,val_loss,val_perplexity
10,4.287859678268433,0.00039971170286722896,,
16,,,4.059624844789505,57.952565793266835
20,4.0116758942604065,0.0003897179401829952,,
30,4.103943467140198,0.0003662196142042995,,
32,,,3.973858618736267,53.18937289264156
40,3.9139299392700195,0.000331086501515462,,
48,,,3.9169966757297514,50.249302976560244
50,3.9184316992759705,0.00028711416600045556,,
60,3.9617605209350586,0.000237801514065565,,
64,,,3.8726385295391084,48.069050513107136
70,3.793273448944092,0.00018707238445497042,,
80,3.854908525943756,0.0001389633259328188,,
80,,,3.8472363650798798,46.86337085476549
90,3.749528467655182,9.730240655808413e-05,,
96,,,3.8212690234184263,45.66211786569941
100,3.847767472267151,6.540461190032331e-05,,
110,3.7759665846824646,4.580806955197021e-05,,
112,,,3.8083420753479005,45.075644859215515
118,3.7863118052482605,4.007208871870212e-05,,
118,,,3.8062478840351104,44.98134660908421
