step,train_loss,lr,val_loss,val_perplexity
10,4.454922795295715,9.992792571680725e-06,,
16,,,4.2328817546367645,68.91554398203527
20,4.174731612205505,9.74294850457488e-06,,
30,4.293556094169617,9.155490355107487e-06,,
32,,,4.175432163476944,65.0679535787314
40,4.1503986120224,8.277162537886549e-06,,
48,,,4.14817025065422,63.318038100808266
50,4.150394916534424,7.1778541500113895e-06,,
60,4.22800874710083,5.9450378516391245e-06,,
64,,,4.13333860039711,62.38585708433894
70,4.074459791183472,4.67680961137426e-06,,
80,4.224184334278107,3.4740831483204696e-06,,
80,,,4.124390012025833,61.830082138449185
90,4.05224871635437,2.432560163952103e-06,,
96,,,4.118951380252838,61.49472386091776
100,4.150559186935425,1.6351152975080827e-06,,
110,4.113433241844177,1.145201738799255e-06,,
112,,,4.116449630260467,61.3410717157336
118,4.189681887626648,1.0018022179675528e-06,,
118,,,4.115713828802109,61.295953466780205
