step,train_loss,lr,val_loss,val_perplexity
10,4.3631614446640015,4.545454545454545e-05,,
20,3.9836015105247498,9.09090909090909e-05,,
30,4.056937396526337,0.00013636363636363634,,
40,4.301452219486237,0.00014995145872419876,,
50,4.104460775852203,0.00014965507038448907,,
60,4.20775032043457,0.0001490904435122604,,
70,4.0901177525520325,0.00014825983340532964,,
75,,,4.101437020301819,60.42706014768287
80,3.9629932045936584,0.00014716655778244684,,
90,3.8974773287773132,0.0001458149835312803,,
100,4.06721568107605,0.0001442105092656896,,
110,3.885037660598755,0.00014235954376195928,,
120,3.7043344378471375,0.00014026948036012494,,
130,4.113392889499664,0.00013794866743264107,,
140,3.896827757358551,0.0001354063750383484,,
150,4.122563362121582,0.00013265275789493507,,
150,,,4.006476271152496,54.952889913132516
160,4.3158687353134155,0.00012969881481779118,,
170,3.8863938450813293,0.00012655634478727103,,
180,3.776941418647766,0.000123237899819844,,
190,4.183330535888672,0.00011975673483138184,,
200,4.2155681848526,0.00011612675469284392,,
210,3.939123034477234,0.00011236245868983681,,
220,4.0216662883758545,0.00010847888260789436,,
225,,,3.9584572851657867,52.376461645512435
230,3.819809079170227,0.00010449153867480792,,
240,4.171976745128632,0.0001004163535998957,,
250,3.631255865097046,9.626960495770236e-05,,
260,3.7888221740722656,9.206785617023228e-05,,
270,3.7199023365974426,8.782789034741755e-05,,
280,3.719540238380432,8.356664325008355e-05,,
290,3.905610203742981,7.93011356431784e-05,,
300,3.732365310192108,7.504840530946929e-05,,
300,,,3.9209356784820555,50.44762545926223
310,3.7222045063972473,7.082543899526413e-05,,
320,3.9841750264167786,6.664910455998909e-05,,
330,3.9766584634780884,6.253608360063771e-05,,
340,4.026584148406982,5.8502804820210954e-05,,
350,3.9740578532218933,5.456537840629569e-05,,
360,3.9504475593566895,5.073953168189402e-05,,
370,3.8515273332595825,4.704054628553484e-05,,
375,,,3.8936714470386504,49.09079030473448
380,3.953889846801758,4.348319713158943e-05,,
390,4.164376139640808,4.008169339460333e-05,,
400,3.8478171825408936,3.684962175337152e-05,,
410,3.752208173274994,3.3799892121457856e-05,,
420,3.936344623565674,3.094468608092846e-05,,
430,3.9259639978408813,2.8295408225270708e-05,,
440,4.194409370422363,2.5862640605849722e-05,,
450,3.732896566390991,2.3656100463857487e-05,,
450,,,3.8755939960479737,48.21132712532987
460,3.7003867626190186,2.1684601416586716e-05,,
470,3.8332520127296448,1.995601825306336e-05,,
480,3.7996899485588074,1.8477255479655554e-05,,
490,3.791243255138397,1.7254219741297337e-05,,
500,3.7916870713233948,1.6291796228485827e-05,,
510,3.8058847188949585,1.5593829164289517e-05,,
520,3.788128912448883,1.5163106449308827e-05,,
525,,,3.8669065654277803,47.79430859832759
530,3.9970462322235107,1.5001348525921793e-05,,
530,,,3.8664976239204405,47.77476751757896
