step,train_loss,lr,val_loss,val_perplexity
10,4.41080904006958,1.8181818181818182e-05,,
20,4.21944659948349,3.6363636363636364e-05,,
30,4.101245105266571,5.4545454545454546e-05,,
40,4.2490721344947815,5.998058348967951e-05,,
50,3.9969985485076904,5.9862028153795624e-05,,
60,3.9951906204223633,5.963617740490416e-05,,
70,4.116877734661102,5.930393336213186e-05,,
75,,,4.0685299098491665,58.470941822558274
80,4.120185494422913,5.886662311297874e-05,,
90,3.9750859141349792,5.832599341251212e-05,,
100,3.8150516748428345,5.7684203706275845e-05,,
110,3.9213385581970215,5.6943817504783717e-05,,
120,3.861638069152832,5.610779214404998e-05,,
130,4.047881066799164,5.517946697305642e-05,,
140,4.2098695039749146,5.416255001533936e-05,,
150,3.8730809688568115,5.306110315797404e-05,,
150,,,3.9967007994651795,54.41831660374765
160,4.1310970187187195,5.187952592711648e-05,,
170,4.113558650016785,5.062253791490841e-05,,
180,3.953823208808899,4.92951599279376e-05,,
190,3.747919976711273,4.790269393255274e-05,,
200,4.043928563594818,4.645070187713758e-05,,
210,3.9061477184295654,4.494498347593473e-05,,
220,4.00230872631073,4.3391553043157756e-05,,
225,,,3.952596879005432,52.07041197065034
230,3.9073184728622437,4.179661546992317e-05,,
240,3.8787201642990112,4.016654143995828e-05,,
250,3.9817144870758057,3.8507841983080956e-05,,
260,3.974261522293091,3.6827142468092924e-05,,
270,4.198973298072815,3.5131156138967024e-05,,
280,3.785925805568695,3.342665730003342e-05,,
290,4.1107470989227295,3.172045425727137e-05,,
300,3.824210464954376,3.001936212378772e-05,,
300,,,3.926096200942993,50.70863445569624
310,4.152453303337097,2.8330175598105658e-05,,
320,3.8020427227020264,2.665964182399564e-05,,
330,3.9543508887290955,2.5014433440255084e-05,,
340,3.96128910779953,2.3401121928084384e-05,,
350,4.187538921833038,2.1826151362518277e-05,,
360,3.828762948513031,2.0295812672757608e-05,,
370,3.9824623465538025,1.8816218514213936e-05,,
375,,,3.909845161437988,49.891226289570724
380,4.324155151844025,1.7393278852635774e-05,,
390,3.7070257663726807,1.6032677357841334e-05,,
400,3.77478688955307,1.4739848701348609e-05,,
410,3.8461949229240417,1.3519956848583144e-05,,
420,3.7781643867492676,1.2377874432371384e-05,,
430,4.1328001618385315,1.1318163290108285e-05,,
440,3.7596395611763,1.034505624233989e-05,,
450,3.9286500215530396,9.462440185542996e-06,,
450,,,3.900880444049835,49.445964351451074
460,4.106895983219147,8.673840566634687e-06,,
470,3.630099892616272,7.982407301225346e-06,,
480,4.02957022190094,7.390902191862222e-06,,
490,3.75226092338562,6.901687896518934e-06,,
500,4.100586533546448,6.51671849139433e-06,,
510,3.8442752361297607,6.237531665715806e-06,,
520,3.971274197101593,6.065242579723531e-06,,
525,,,3.8950692236423494,49.15945624151965
530,3.4905920028686523,6.000539410368717e-06,,
530,,,3.8946349740028383,49.138113399764265
