step,train_loss,lr,val_loss,val_perplexity
10,4.641488313674927,2.7272727272727276e-05,,
20,4.483451724052429,5.454545454545455e-05,,
30,4.365070462226868,8.181818181818182e-05,,
40,4.478819787502289,8.997087523451928e-05,,
50,4.220125198364258,8.979304223069344e-05,,
60,4.240992784500122,8.945426610735626e-05,,
70,4.382587909698486,8.895590004319779e-05,,
75,,,4.312438660860062,74.62224557845128
80,4.378504037857056,8.829993466946813e-05,,
90,4.195459008216858,8.748899011876818e-05,,
100,4.0336108803749084,8.652630555941377e-05,,
110,4.161003112792969,8.54157262571756e-05,,
120,4.104997634887695,8.416168821607497e-05,,
130,4.282968759536743,8.276920045958465e-05,,
140,4.46032178401947,8.124382502300905e-05,,
150,4.121676087379456,7.959165473696106e-05,,
150,,,4.228528070449829,68.61615965326713
160,4.310526490211487,7.781928889067472e-05,,
170,4.324640512466431,7.593380687236262e-05,,
180,4.1898099184036255,7.39427398919064e-05,,
190,3.9890772700309753,7.185404089882913e-05,,
200,4.281329870223999,6.967605281570637e-05,,
210,4.124387443065643,6.74174752139021e-05,,
220,4.224016785621643,6.508732956473663e-05,,
225,,,4.180232375860214,65.3810444253462
230,4.117180347442627,6.269492320488477e-05,,
240,4.11056661605835,6.024981215993743e-05,,
250,4.169779062271118,5.7761762974621435e-05,,
260,4.227413356304169,5.5240713702139386e-05,,
270,4.416546940803528,5.269673420845054e-05,,
280,4.030801773071289,5.013998595005014e-05,,
290,4.3751237988471985,4.758068138590705e-05,,
300,4.0213364362716675,4.5029043185681585e-05,,
300,,,4.149784225225448,63.42031431760787
310,4.349673628807068,4.2495263397158494e-05,,
320,4.062404751777649,3.9989462735993464e-05,,
330,4.191997408866882,3.752165016038263e-05,,
340,4.151918292045593,3.510168289212658e-05,,
350,4.371961951255798,3.2739227043777414e-05,,
360,4.049530863761902,3.0443719009136416e-05,,
370,4.223369300365448,2.8224327771320908e-05,,
375,,,4.130998980998993,62.24006853429779
380,4.546039044857025,2.6089918278953664e-05,,
390,3.9163354635238647,2.4049016036762002e-05,,
400,3.990203857421875,2.2109773052022916e-05,,
410,4.036268830299377,2.0279935272874718e-05,,
420,3.9805360436439514,1.8566811648557078e-05,,
430,4.366515517234802,1.6977244935162427e-05,,
440,3.979497730731964,1.5517584363509835e-05,,
450,4.122777462005615,1.4193660278314494e-05,,
450,,,4.120157366991043,61.56893041943245
460,4.368455767631531,1.301076084995203e-05,,
470,3.834751605987549,1.1973610951838018e-05,,
480,4.255741119384766,1.1086353287793333e-05,,
490,3.9152827858924866,1.0352531844778402e-05,,
500,4.312278985977173,9.775077737091495e-06,,
510,4.04141902923584,9.35629749857371e-06,,
520,4.189670979976654,9.097863869585296e-06,,
525,,,4.113849914073944,61.18180944674296
530,3.683914005756378,9.000809115553075e-06,,
530,,,4.113574433326721,61.16495735747978
