step,train_loss,lr,val_loss,val_perplexity
10,3.888053297996521,0.0002727272727272727,,
20,3.8108394145965576,0.0005454545454545454,,
30,4.06192934513092,0.0005993933765229526,,
40,4.063231945037842,0.0005964287196886973,,
50,3.814648389816284,0.0005910217513378715,,
50,,,3.9327589511871337,51.04762146114081
60,3.7519116401672363,0.000583222036326278,,
70,3.744195580482483,0.0005731010734541248,,
80,3.693860948085785,0.0005607516400474087,,
90,3.8248477578163147,0.0005462869414822902,,
100,3.7446683049201965,0.0005298395734486431,,
100,,,3.781012535095215,43.860429483848804
110,3.671187698841095,0.0005115603064655496,,
120,3.5672648549079895,0.0004916167037909025,,
130,3.6528698205947876,0.00047019158539452746,,
140,3.5889899730682373,0.0004474813520753493,,
150,3.492636203765869,0.00042369418508516466,,
150,,,3.638666296005249,38.04106735377339
160,3.3607903718948364,0.0003990481377627978,,
170,3.3103030920028687,0.0003737691366723354,,
180,3.452241897583008,0.000348088910568706,,
190,3.3186399936676025,0.0003222428661754575,,
200,3.3998812437057495,0.0002964679302471576,,
200,,,3.485004502534866,32.62257399380558
210,3.4675071835517883,0.00027100037769789995,,
220,3.1742924451828003,0.00024607366570513357,,
230,3.3257195949554443,0.0002219162936432551,,
240,3.2987358570098877,0.0001987497084646267,,
250,3.2104960083961487,0.00017678627472907327,,
250,,,3.3638446927070618,28.900089520451363
260,3.224727690219879,0.00015622732789028916,,
270,3.089668869972229,0.00013726132868438257,,
280,3.266112804412842,0.00012006213553899599,,
290,3.313645601272583,0.00010478741083956512,,
300,3.3321436643600464,9.157717566223158e-05,,
300,,,3.265967345237732,26.205448449572447
310,3.0289199352264404,8.055252622195258e-05,,
320,3.165816307067871,7.181452380193215e-05,,
330,3.171836197376251,6.544326834022195e-05,,
340,3.118416488170624,6.149716416578215e-05,,
350,3.19631427526474,6.0012384614888495e-05,,
350,,,3.21656790971756,24.942368650946776
