step,train_loss,lr,val_loss,val_perplexity
10,4.059403479099274,2.7272727272727276e-05,,
20,3.987154245376587,5.454545454545455e-05,,
30,3.6776461005210876,5.993933765229527e-05,,
40,3.6523457169532776,5.964287196886973e-05,,
50,3.609318196773529,5.9102175133787156e-05,,
50,,,3.6853990375995638,39.861025324589576
60,3.6523020267486572,5.832220363262781e-05,,
70,3.651460111141205,5.7310107345412485e-05,,
80,3.598067820072174,5.607516400474088e-05,,
90,3.523277521133423,5.462869414822903e-05,,
100,3.6840248107910156,5.2983957344864317e-05,,
100,,,3.544290894269943,34.61513084979184
110,3.615798532962799,5.1156030646554965e-05,,
120,3.5181334614753723,4.916167037909025e-05,,
130,3.5452977418899536,4.701915853945276e-05,,
140,3.4717358350753784,4.474813520753493e-05,,
150,3.4185935854911804,4.236941850851647e-05,,
150,,,3.456865531206131,31.717403330710773
160,3.522336959838867,3.990481377627979e-05,,
170,3.4580101370811462,3.737691366723355e-05,,
180,3.4555928707122803,3.4808891056870605e-05,,
190,3.3665560483932495,3.222428661754576e-05,,
200,3.519354522228241,2.9646793024715764e-05,,
200,,,3.395953619480133,29.84309887017103
210,3.378329634666443,2.7100037769789996e-05,,
220,3.194404184818268,2.460736657051336e-05,,
230,3.4084469079971313,2.2191629364325512e-05,,
240,3.3718850016593933,1.9874970846462674e-05,,
250,3.3887253403663635,1.7678627472907328e-05,,
250,,,3.3593646228313445,28.770904694581244
260,3.4052141308784485,1.562273278902892e-05,,
270,3.5037400126457214,1.3726132868438257e-05,,
280,3.407352924346924,1.20062135538996e-05,,
10,4.05940055847168,2.7272727272727276e-05,,
20,3.987166106700897,5.454545454545455e-05,,
30,3.677630662918091,5.993933765229527e-05,,
40,3.652366518974304,5.964287196886973e-05,,
50,3.6093225479125977,5.9102175133787156e-05,,
50,,,3.6853919506072996,39.86074283081248
60,3.652278482913971,5.832220363262781e-05,,
70,3.6514861583709717,5.7310107345412485e-05,,
80,3.5980852842330933,5.607516400474088e-05,,
90,3.523284912109375,5.462869414822903e-05,,
100,3.6840068697929382,5.2983957344864317e-05,,
100,,,3.544305109977722,34.61562293187436
110,3.6157745122909546,5.1156030646554965e-05,,
120,3.5181116461753845,4.916167037909025e-05,,
130,3.5452572107315063,4.701915853945276e-05,,
140,3.4717265963554382,4.474813520753493e-05,,
150,3.4185596704483032,4.236941850851647e-05,,
150,,,3.4568833351135253,31.717968029449363
160,3.522361695766449,3.990481377627979e-05,,
170,3.4580106139183044,3.737691366723355e-05,,
180,3.4556069374084473,3.4808891056870605e-05,,
190,3.3665348887443542,3.222428661754576e-05,,
200,3.519325077533722,2.9646793024715764e-05,,
200,,,3.3959472477436066,29.842908718413696
210,3.378347635269165,2.7100037769789996e-05,,
220,3.1944538354873657,2.460736657051336e-05,,
230,3.4084302186965942,2.2191629364325512e-05,,
240,3.3718459606170654,1.9874970846462674e-05,,
250,3.388797163963318,1.7678627472907328e-05,,
250,,,3.3593644857406617,28.770900750358546
260,3.4052265286445618,1.562273278902892e-05,,
270,3.5037420988082886,1.3726132868438257e-05,,
280,3.4073073863983154,1.20062135538996e-05,,
290,3.3388463258743286,1.0478741083956514e-05,,
300,3.369215428829193,9.15771756622316e-06,,
300,,,3.33666478395462,28.125166596963176
310,3.2989229559898376,8.055252622195257e-06,,
320,3.21092289686203,7.181452380193216e-06,,
330,3.5857258439064026,6.544326834022195e-06,,
340,3.257349729537964,6.149716416578214e-06,,
350,3.3484039306640625,6.00123846148885e-06,,
350,,,3.3237928211688996,27.765460527306765
