step,train_loss,lr,val_loss,val_perplexity
10,4.380520522594452,6e-06,,
20,3.840647339820862,1.2e-05,,
30,4.046608090400696,1.8e-05,,
40,4.158134579658508,2.4e-05,,
50,4.080617249011993,3e-05,,
60,3.9666409492492676,3.6e-05,,
70,3.6525654792785645,4.2e-05,,
80,3.739728808403015,4.8e-05,,
90,4.114987790584564,5.4000000000000005e-05,,
100,4.108162820339203,6e-05,,
110,4.044904291629791,5.999520351428184e-05,,
120,3.5514615774154663,5.9978625257707264e-05,,
130,3.626646637916565,5.9950213284442754e-05,,
140,3.773966073989868,5.99099800569188e-05,,
150,3.7514288425445557,5.9857943222758734e-05,,
160,3.6027989983558655,5.9794125607037836e-05,,
170,3.538863718509674,5.971855520227157e-05,,
180,3.8715702295303345,5.963126515613708e-05,,
190,3.7986472845077515,5.953229375693356e-05,,
200,3.792396128177643,5.942168441678774e-05,,
210,3.653338849544525,5.929948565261189e-05,,
220,3.8048276901245117,5.916575106482266e-05,,
228,,,3.7033485651016234,40.58297181077905
230,3.4617956280708313,5.902053931383026e-05,,
240,3.5205124020576477,5.8863914094307946e-05,,
250,3.5735341906547546,5.869594410725351e-05,,
260,3.6555798649787903,5.851670302985473e-05,,
270,3.5735830068588257,5.832626948317214e-05,,
280,3.620957672595978,5.81247269976532e-05,,
290,3.5224671959877014,5.791216397649311e-05,,
300,4.113969385623932,5.7688673656858196e-05,,
310,3.5863049030303955,5.745435406898909e-05,,
320,3.6850106716156006,5.7209307993201364e-05,,
330,3.4474724531173706,5.6953642914802716e-05,,
340,3.8445791006088257,5.6687470976946334e-05,,
350,3.644789755344391,5.641090893144123e-05,,
360,3.611375093460083,5.6124078087541025e-05,,
370,3.40239018201828,5.582710425873368e-05,,
380,3.630422532558441,5.552011770755563e-05,,
390,3.461943566799164,5.520325308845417e-05,,
400,3.650335133075714,5.487664938872375e-05,,
410,3.7241222262382507,5.4540449867541415e-05,,
420,3.5498244762420654,5.419480199312865e-05,,
430,3.4583078026771545,5.383985737806694e-05,,
440,3.448357582092285,5.3475771712795485e-05,,
450,3.4706080555915833,5.3102704697320226e-05,,
456,,,3.602937215566635,36.70588937306751
460,3.329205632209778,5.272081997116411e-05,,
470,3.714143753051758,5.2330285041589435e-05,,
480,3.2493101358413696,5.193127121012364e-05,,
490,3.747351348400116,5.152395349742072e-05,,
500,3.583569049835205,5.110851056649144e-05,,
510,3.6008137464523315,5.0685124644335834e-05,,
520,3.4109960794448853,5.025398144201237e-05,,
530,3.4112926721572876,4.981527007317904e-05,,
540,3.571162164211273,4.936918297114173e-05,,
550,3.588265299797058,4.8915915804446724e-05,,
560,3.262795567512512,4.845566739105396e-05,,
570,3.7200523018836975,4.7988639611128874e-05,,
580,3.5378573536872864,4.75150373184912e-05,,
590,3.4061532616615295,4.7035068250759156e-05,,
600,3.3247294425964355,4.654894293822898e-05,,
610,3.4788814187049866,4.605687461152935e-05,,
620,3.1686416268348694,4.555907910809138e-05,,
630,3.528838634490967,4.5055774777475136e-05,,
640,3.616614878177643,4.454718238559441e-05,,
650,3.7354647517204285,4.403352501788143e-05,,
660,3.319858729839325,4.351502798143418e-05,,
670,3.488295614719391,4.299191870618935e-05,,
680,3.606111705303192,4.246442664516399e-05,,
684,,,3.5365388214588167,34.34782924444581
690,3.372590482234955,4.193278317380984e-05,,
700,3.3031449913978577,4.1397221488524404e-05,,
710,3.6151660084724426,4.085797650436334e-05,,
720,3.3730548620224,4.031528475199891e-05,,
730,3.51061087846756,3.976938427396983e-05,,
740,3.4496787190437317,3.922051452026795e-05,,
750,3.4994388222694397,3.8668916243307546e-05,,
760,3.568676233291626,3.811483139232339e-05,,
770,3.5026819705963135,3.755850300724382e-05,,
780,3.6245077252388,3.700017511208533e-05,,
790,3.5222479104995728,3.644009260791565e-05,,
800,3.5486989617347717,3.5878501165432014e-05,,
810,3.5635539293289185,3.5315647117201875e-05,,
820,3.6820207834243774,3.4751777349613274e-05,,
830,3.57820200920105,3.418713919458235e-05,,
840,3.3147833347320557,3.362198032106537e-05,,
850,3.7749356031417847,3.3056548626422914e-05,,
860,3.736532151699066,3.249109212768398e-05,,
870,3.3711941838264465,3.192585885275739e-05,,
880,3.5975049138069153,3.136109673163869e-05,,
890,3.6135950684547424,3.0797053487659746e-05,,
900,3.300520360469818,3.0233976528829184e-05,,
910,3.4889792799949646,2.9672112839310995e-05,,
912,,,3.4862094581127168,32.6619064384686
920,3.4242653846740723,2.911170887108919e-05,,
930,3.751728355884552,2.8553010435865753e-05,,
940,3.19052392244339,2.799626259723952e-05,,
950,3.1466346979141235,2.744170956321321e-05,,
960,3.650215804576874,2.6889594579075685e-05,,
970,3.713687300682068,2.6340159820706564e-05,,
980,3.8931543231010437,2.5793646288349865e-05,,
990,3.2648048400878906,2.52502937009033e-05,,
1000,3.584396541118622,2.4710340390769718e-05,,
1010,3.5750482082366943,2.4174023199316555e-05,,
1020,3.4961474537849426,2.3641577372989428e-05,,
1030,3.491753935813904,2.3113236460125278e-05,,
1040,3.5361452102661133,2.2589232208510294e-05,,
1050,3.4713656306266785,2.2069794463727757e-05,,
