step,train_loss,lr,val_loss,val_perplexity
10,2.8982184529304504,4.0909090909090915e-05,,
20,2.8182936310768127,8.181818181818183e-05,,
30,2.623311936855316,8.990900647844291e-05,,
40,2.6204906702041626,8.94643079533046e-05,,
50,2.563772141933441,8.865326270068075e-05,,
50,,,2.6261778116226195,13.820842952879353
60,2.627864360809326,8.748330544894172e-05,,
70,2.5950759649276733,8.596516101811874e-05,,
80,2.6504647731781006,8.411274600711132e-05,,
90,2.557559609413147,8.194304122234354e-05,,
100,2.6772977113723755,7.947593601729649e-05,,
100,,,2.5411875754594804,12.694737981748535
110,2.640626609325409,7.673404596983246e-05,,
120,2.5690216422080994,7.374250556863539e-05,,
130,2.5530824661254883,7.052873780917914e-05,,
140,2.5602097511291504,6.71222028113024e-05,,
150,2.508609890937805,6.35541277627747e-05,,
150,,,2.4932364255189894,12.100374778091112
160,2.5157799124717712,5.9857220664419686e-05,,
170,2.472799777984619,5.606537050085032e-05,,
180,2.500906467437744,5.2213336585305915e-05,,
190,2.486188590526581,4.8336429926318646e-05,,
200,2.597581923007965,4.447018953707365e-05,,
200,,,2.4604281693696977,11.709824254829256
210,2.4946740865707397,4.0650056654685e-05,,
220,2.268561840057373,3.6911049855770045e-05,,
230,2.4971084594726562,3.328744404648827e-05,,
240,2.466893970966339,2.981245626969401e-05,,
250,2.4379968643188477,2.6517941209360996e-05,,
250,,,2.4396951377391813,11.469543578759273
260,2.4776777625083923,2.3434099183543377e-05,,
270,2.549167037010193,2.0589199302657388e-05,,
280,2.4959548711776733,1.80093203308494e-05,,
290,2.4166345596313477,1.571811162593477e-05,,
300,2.428504467010498,1.3736576349334739e-05,,
300,,,2.4249338656663895,11.301481978584642
310,2.43975031375885,1.2082878933292888e-05,,
320,2.347304940223694,1.0772178570289824e-05,,
330,2.685925781726837,9.816490251033292e-06,,
340,2.373592734336853,9.224574624867322e-06,,
350,2.4113937616348267,9.001857692233275e-06,,
350,,,2.4192597776651383,11.237537958849014
