step,train_loss,lr,val_loss,val_perplexity
5,,,2.9514467239379885,19.133614772971598
10,2.9636715054512024,0.0003691317368638916,,
10,,,2.8922234853108724,18.03336197257146
15,,,2.8679319699605306,17.600582004951864
20,2.9113717675209045,0.0002428632075544382,,
20,,,2.8360199769337973,17.047779777702186
25,,,2.811572297414144,16.636054491864197
30,2.73539274930954,0.00010107854978978539,,
30,,,2.791568660736084,16.306579240097385
35,,,2.7788858731587727,16.101072314518824
39,2.728380024433136,4.064845206234523e-05,,
39,,,2.769662078221639,15.953242150873809
