step,train_loss,lr,val_loss,val_perplexity
5,,,2.8652401129404703,17.55326746528303
10,2.8893823623657227,8.305464079437562e-05,,
10,,,2.8158984820048016,16.70818103834064
15,,,2.7981990814208983,16.415057952723725
20,2.8507100343704224,5.4644221699748594e-05,,
20,,,2.7736811955769856,16.017489124857132
25,,,2.7580552895863852,15.769146686489579
30,2.696319878101349,2.274267370270171e-05,,
30,,,2.750969330469767,15.65780211519661
35,,,2.7458924293518066,15.57851045041527
39,2.677482485771179,9.145901714027676e-06,,
39,,,2.7421568393707276,15.520424083828901
