step,train_loss,lr,val_loss,val_perplexity
10,2.8584222197532654,0.00022727272727272727,,
20,2.860582649707794,0.00024871306587908747,,
25,,,2.9208515167236326,18.557082399970014
30,3.0524818301200867,0.0002435353173841382,,
40,2.9505351185798645,0.00023457107309114757,,
50,2.9643208980560303,0.0002221404440177029,,
50,,,2.9473934173583984,19.05621733006867
60,2.953542649745941,0.0002066873249520198,,
70,3.1082205772399902,0.0001887635430763272,,
75,,,2.923482100168864,18.60596261728093
80,2.6314948201179504,0.00016900915235030207,,
90,2.97370982170105,0.00014812957733740354,,
100,2.926097095012665,0.0001268704226625965,,
100,,,2.878584448496501,17.78907399800657
110,3.0950950384140015,0.00010599084764969796,,
120,2.905146360397339,8.623645692367284e-05,,
125,,,2.847414414087931,17.24314053222859
130,2.5743200182914734,6.831267504798022e-05,,
140,2.902148187160492,5.285955598229711e-05,,
150,2.807288348674774,4.042892690885243e-05,,
150,,,2.8141685803731282,16.679302514404682
160,2.7206810116767883,3.146468261586183e-05,,
170,2.7644813656806946,2.628693412091254e-05,,
175,,,2.7961068948109946,16.380750489596075
177,2.6124370098114014,2.5020146199654502e-05,,
177,,,2.7946623166402182,16.357104298515683
