step,train_loss,lr,val_loss,val_perplexity
10,2.9277255535125732,5.454545454545455e-05,,
20,3.116432011127472,5.9691135810980986e-05,,
25,,,2.8139381885528563,16.675460182175478
30,2.7461681365966797,5.844847617219317e-05,,
40,2.7921215891838074,5.629705754187542e-05,,
50,2.705785870552063,5.331370656424869e-05,,
50,,,2.7823105812072755,16.156308316066564
60,2.844396471977234,4.9604957988484745e-05,,
70,2.868903636932373,4.5303250338318526e-05,,
75,,,2.753243319193522,15.69344829478997
80,2.496334344148636,4.0562196564072496e-05,,
90,2.7263585925102234,3.555109856097684e-05,,
100,2.5684085488319397,3.0448901439023155e-05,,
100,,,2.7335944493611652,15.38809947560307
110,2.7300270199775696,2.543780343592751e-05,,
120,2.713318645954132,2.069674966168148e-05,,
125,,,2.7215593020121256,15.2040114164617
130,2.7516335248947144,1.6395042011515253e-05,,
140,2.9420716762542725,1.2686293435751306e-05,,
150,2.8949106335639954,9.702942458124583e-06,,
150,,,2.7122558911641437,15.06321819581525
160,2.550102412700653,7.551523827806839e-06,,
170,2.5864870846271515,6.30886418901901e-06,,
175,,,2.7072818756103514,14.988479543918896
177,2.561515152454376,6.0048350879170804e-06,,
177,,,2.7068212191263834,14.981576593698627
