step,train_loss,lr,val_loss,val_perplexity
10,2.739931344985962,6.818181818181817e-05,,
20,2.7248045206069946,0.00013636363636363634,,
30,2.7274214029312134,0.00014984834413073815,,
40,2.6830031275749207,0.00014910717992217432,,
50,2.5826008319854736,0.00014775543783446788,,
50,,,2.63695307970047,13.970571474537856
60,2.7304797768592834,0.0001458055090815695,,
70,2.6524054408073425,0.0001432752683635312,,
80,2.6730724573135376,0.00014018791001185217,,
90,2.7549511194229126,0.00013657173537057256,,
100,2.667882800102234,0.00013245989336216078,,
100,,,2.572341626882553,13.096455576036442
110,2.690281927585602,0.0001278900766163874,,
120,2.5932913422584534,0.00012290417594772561,,
130,2.628075122833252,0.00011754789634863187,,
140,2.5814579129219055,0.00011187033801883732,,
150,2.5950490832328796,0.00010592354627129116,,
150,,,2.5317160099744798,12.575066572083827
160,2.5256384015083313,9.976203444069945e-05,,
170,2.4820132851600647,9.344228416808384e-05,,
180,2.5465009808540344,8.70222276421765e-05,,
190,2.5119080543518066,8.056071654386438e-05,,
200,2.4569111466407776,7.41169825617894e-05,,
200,,,2.492309960722923,12.089169398336436
210,2.5460944175720215,6.775009442447499e-05,,
220,2.519226551055908,6.151841642628339e-05,,
230,2.480306625366211,5.547907341081377e-05,,
240,2.488490104675293,4.968742711615667e-05,,
250,2.515915632247925,4.419656868226832e-05,,
250,,,2.468208134174347,11.801281581482534
260,2.524745285511017,3.905683197257229e-05,,
270,2.464049756526947,3.431533217109564e-05,,
280,2.563697040081024,3.0015533884748998e-05,,
290,2.4590944647789,2.619685270989128e-05,,
300,2.5704492330551147,2.2894293915557895e-05,,
300,,,2.451345843076706,11.603953315084745
310,2.57932311296463,2.0138131555488145e-05,,
320,2.6018993854522705,1.795363095048304e-05,,
330,2.565109431743622,1.636081708505549e-05,,
340,2.5948939323425293,1.5374291041445537e-05,,
350,2.445543885231018,1.5003096153722124e-05,,
350,,,2.441938379406929,11.49530141655129
