step,train_loss,lr,val_loss,val_perplexity
10,2.963889479637146,1.3636363636363638e-05,,
20,2.898741662502289,2.7272727272727276e-05,,
30,2.7371069192886353,2.9969668826147633e-05,,
40,2.700834035873413,2.9821435984434866e-05,,
50,2.658124327659607,2.9551087566893578e-05,,
50,,,2.7324352264404297,15.370271573237343
60,2.733587920665741,2.9161101816313905e-05,,
70,2.7007530331611633,2.8655053672706242e-05,,
80,2.7537047266960144,2.803758200237044e-05,,
90,2.641635239124298,2.7314347074114514e-05,,
100,2.7871049642562866,2.6491978672432158e-05,,
100,,,2.668612027168274,14.419940810512886
110,2.735488533973694,2.5578015323277482e-05,,
120,2.7011144757270813,2.4580835189545126e-05,,
130,2.6596688628196716,2.350957926972638e-05,,
140,2.662343204021454,2.2374067603767466e-05,,
150,2.6462435722351074,2.1184709254258235e-05,,
150,,,2.6341290533542634,13.931173868743969
160,2.6497997641563416,1.9952406888139895e-05,,
170,2.635165572166443,1.8688456833616774e-05,,
180,2.6569811701774597,1.7404445528435303e-05,,
190,2.637323319911957,1.611214330877288e-05,,
200,2.7532447576522827,1.4823396512357882e-05,,
200,,,2.613794183731079,13.650746158059604
210,2.6235130429267883,1.3550018884894998e-05,,
220,2.458771586418152,1.230368328525668e-05,,
230,2.6469844579696655,1.1095814682162756e-05,,
240,2.6008952260017395,9.937485423231337e-06,,
250,2.6634130477905273,8.839313736453664e-06,,
250,,,2.5992671132087706,13.453874254194103
260,2.633849859237671,7.81136639451446e-06,,
270,2.730653405189514,6.863066434219129e-06,,
280,2.664406418800354,6.0031067769498e-06,,
290,2.579673647880554,5.239370541978257e-06,,
300,2.6070584058761597,4.57885878311158e-06,,
300,,,2.591551411151886,13.35046760936939
310,2.646940052509308,4.027626311097629e-06,,
320,2.525518298149109,3.590726190096608e-06,,
330,2.8415839672088623,3.2721634170110973e-06,,
340,2.5184284448623657,3.074858208289107e-06,,
350,2.5748574137687683,3.000619230744425e-06,,
350,,,2.5884933888912203,13.309703942097398
