step,train_loss,lr,val_loss,val_perplexity
10,2.866641581058502,0.00014989188857521084,,
16,,,2.7855400174856184,16.2085684241916
20,2.817302107810974,0.00014614422756862317,,
30,2.7437586784362793,0.00013733235532661228,,
32,,,2.7244333416223525,15.2477712010624
40,2.598107635974884,0.00012415743806829823,,
48,,,2.692927512526512,14.774866275542678
50,2.676667630672455,0.00010766781225017082,,
60,2.6185465455055237,8.917556777458685e-05,,
64,,,2.6627201199531556,14.335229657396107
70,2.5241918563842773,7.01521441706139e-05,,
80,2.6409886479377747,5.2111247224807035e-05,,
80,,,2.642449277639389,14.04756790065419
90,2.5519878268241882,3.648840245928154e-05,,
96,,,2.629440054297447,13.866003518874388
100,2.6920489072799683,2.452672946262124e-05,,
110,2.750969350337982,1.7178026081988827e-05,,
112,,,2.621119552850723,13.751110064955933
118,2.622268497943878,1.5027033269513294e-05,,
118,,,2.618767210841179,13.718800767230096
