step,train_loss,lr,val_loss,val_perplexity
10,3.0364246368408203,2.997837771504217e-05,,
16,,,2.7920525312423705,16.31447142209316
20,2.8357797861099243,2.922884551372464e-05,,
30,2.891011416912079,2.7466471065322455e-05,,
32,,,2.7380797386169435,15.457274572035265
40,2.757139205932617,2.4831487613659648e-05,,
48,,,2.706746870279312,14.980462772157761
50,2.7747215032577515,2.1533562450034164e-05,,
60,2.7696056365966797,1.7835113554917376e-05,,
64,,,2.6890111327171327,14.717115448476722
70,2.6998870372772217,1.403042883412278e-05,,
80,2.758521258831024,1.0422249444961407e-05,,
80,,,2.6777053654193876,14.551664204884684
90,2.655791938304901,7.297680491856309e-06,,
96,,,2.6713452339172363,14.45940740066177
100,2.728162467479706,4.9053458925242485e-06,,
110,2.634912431240082,3.4356052163977655e-06,,
112,,,2.6679943919181826,14.41103729660914
118,2.7389367818832397,3.005406653902659e-06,,
118,,,2.6672607183456423,14.400468177007687
