step,train_loss,lr,val_loss,val_perplexity
10,3.0535749793052673,9.090909090909091e-06,,
20,2.8901681900024414,1.8181818181818182e-05,,
30,2.723167836666107,2.7272727272727273e-05,,
40,2.9192088842391968,2.9990291744839756e-05,,
50,2.7821174263954163,2.9931014076897812e-05,,
60,2.740556001663208,2.981808870245208e-05,,
70,2.842153251171112,2.965196668106593e-05,,
75,,,2.73853919506073,15.464378148207725
80,2.863903522491455,2.943331155648937e-05,,
90,2.6868520975112915,2.916299670625606e-05,,
100,2.62576961517334,2.8842101853137923e-05,,
110,2.5774444937705994,2.8471908752391858e-05,,
120,2.5105379223823547,2.805389607202499e-05,,
130,2.805637836456299,2.758973348652821e-05,,
140,2.9609769582748413,2.708127500766968e-05,,
150,2.524154007434845,2.653055157898702e-05,,
150,,,2.690891295671463,14.744812052643121
160,2.8286561965942383,2.593976296355824e-05,,
170,2.8234967589378357,2.5311268957454204e-05,,
180,2.721291959285736,2.46475799639688e-05,,
190,2.5075730085372925,2.395134696627637e-05,,
200,2.832129418849945,2.322535093856879e-05,,
210,2.6505651473999023,2.2472491737967366e-05,,
220,2.709137499332428,2.1695776521578878e-05,,
225,,,2.6634328365325928,14.345450255005014
230,2.7277010083198547,2.0898307734961586e-05,,
240,2.6477394700050354,2.008327071997914e-05,,
250,2.8053261041641235,1.9253920991540478e-05,,
260,2.7101998329162598,1.8413571234046462e-05,,
270,2.7090654969215393,1.7565578069483512e-05,,
280,2.6121079325675964,1.671332865001671e-05,,
290,2.859164834022522,1.5860227128635683e-05,,
300,2.6664591431617737,1.500968106189386e-05,,
300,,,2.643113261461258,14.056898355769661
310,2.999215304851532,1.4165087799052829e-05,,
320,2.5860573053359985,1.332982091199782e-05,,
330,2.7489726543426514,1.2507216720127542e-05,,
340,2.6556777358055115,1.1700560964042192e-05,,
350,2.9483752250671387,1.0913075681259139e-05,,
360,2.5586552023887634,1.0147906336378804e-05,,
370,2.7449777126312256,9.408109257106968e-06,,
375,,,2.6323660373687745,13.906634624412886
380,2.9951266646385193,8.696639426317887e-06,,
390,2.51512610912323,8.016338678920667e-06,,
400,2.441675513982773,7.369924350674304e-06,,
410,2.6137315034866333,6.759978424291572e-06,,
420,2.631065845489502,6.188937216185692e-06,,
430,2.761977791786194,5.659081645054142e-06,,
440,2.4963338375091553,5.172528121169945e-06,,
450,2.6283673644065857,4.731220092771498e-06,,
450,,,2.6267406761646273,13.828624405064506
460,2.8460004925727844,4.336920283317343e-06,,
470,2.47797429561615,3.991203650612673e-06,,
480,2.8242042660713196,3.695451095931111e-06,,
490,2.641368329524994,3.450843948259467e-06,,
500,2.9358360171318054,3.258359245697165e-06,,
510,2.6553350687026978,3.118765832857903e-06,,
520,2.7085688710212708,3.0326212898617654e-06,,
525,,,2.623141187429428,13.778937903941882
530,2.42649644613266,3.0002697051843584e-06,,
530,,,2.622913432121277,13.775800035040293
