step,train_loss,lr,val_loss,val_perplexity
10,3.219740927219391,4.5454545454545455e-06,,
20,3.1498864889144897,9.090909090909091e-06,,
30,2.972893476486206,9.98988960871588e-06,,
40,2.921527087688446,9.940478661478289e-06,,
50,2.876432776451111,9.850362522297862e-06,,
50,,,2.9644640147686006,19.384310752325693
60,2.966023623943329,9.720367272104636e-06,,
70,2.93723863363266,9.551684557568748e-06,,
80,2.967928171157837,9.345860667456815e-06,,
90,2.863947093486786,9.104782358038173e-06,,
100,3.0007450580596924,8.830659557477388e-06,,
100,,,2.8965151488780974,18.110921405597033
110,2.9419374465942383,8.526005107759162e-06,,
120,2.9203240275382996,8.193611729848376e-06,,
130,2.866899311542511,7.836526423242126e-06,,
140,2.8578118681907654,7.4580225345891565e-06,,
150,2.8684749603271484,7.061569751419412e-06,,
150,,,2.8639076113700868,17.52989328534444
160,2.8572813272476196,6.650802296046631e-06,,
170,2.8720878958702087,6.229485611205591e-06,,
180,2.881243944168091,5.801481842811768e-06,,
190,2.8662529587745667,5.370714436257626e-06,,
200,2.966219902038574,4.941132170785961e-06,,
200,,,2.844119071960449,17.186412006109524
210,2.8525540828704834,4.516672961631666e-06,,
220,2.721590578556061,4.101227761752227e-06,,
230,2.8743574023246765,3.6986048940542523e-06,,
240,2.8148183822631836,3.3124951410771123e-06,,
250,2.8879053592681885,2.9464379121512214e-06,,
250,,,2.8323220729827883,16.984855141841265
260,2.868811845779419,2.6037887981714867e-06,,
270,2.9529353976249695,2.2876888114063762e-06,,
280,2.9075804948806763,2.0010355923166e-06,,
290,2.8096075654029846,1.7464568473260856e-06,,
300,2.841784358024597,1.5262862610371931e-06,,
300,,,2.826162028312683,16.88054926970177
310,2.90020215511322,1.3425421036992096e-06,,
320,2.7642961144447327,1.1969087300322025e-06,,
330,3.064964771270752,1.0907211390036991e-06,,
340,2.7304282784461975,1.024952736096369e-06,,
350,2.8031165599823,1.0002064102481416e-06,,
350,,,2.823298615217209,16.832282420806578
