step,train_loss,lr,val_loss,val_perplexity
10,2.933311402797699,0.00014989188857521084,,
16,,,2.923974794149399,18.615131921709594
20,2.8955790400505066,0.00014614422756862317,,
30,2.765459954738617,0.00013733235532661228,,
32,,,2.839894104003906,17.113953142069796
40,2.8628912568092346,0.00012415743806829823,,
48,,,2.794159251451492,16.34887767819139
50,2.676769256591797,0.00010766781225017082,,
60,2.652858078479767,8.917556777458685e-05,,
64,,,2.761901307106018,15.829911878008605
70,2.7971054911613464,7.01521441706139e-05,,
80,2.8472559452056885,5.2111247224807035e-05,,
80,,,2.740505164861679,15.494810553430513
90,2.7446658611297607,3.648840245928154e-05,,
96,,,2.7250167608261107,15.256669639103025
100,2.7603635787963867,2.452672946262124e-05,,
110,2.7883216738700867,1.7178026081988827e-05,,
112,,,2.7159113466739653,15.118381882539692
118,2.6286269426345825,1.5027033269513294e-05,,
118,,,2.71415713429451,15.091884277892062
