step,train_loss,lr,val_loss,val_perplexity
10,3.129728853702545,8.993513314512653e-05,,
16,,,2.8779387176036835,17.777590751314026
20,2.915166735649109,8.768653654117392e-05,,
30,2.980327069759369,8.239941319596739e-05,,
32,,,2.802157872915268,16.480170543073793
40,2.816571056842804,7.449446284097894e-05,,
48,,,2.7629018843173982,15.845758853831233
50,2.8434218764305115,6.46006873501025e-05,,
60,2.827424168586731,5.350534066475213e-05,,
64,,,2.7404180467128754,15.493460733016814
70,2.748466193675995,4.2091286502368346e-05,,
80,2.7935909032821655,3.126674833488423e-05,,
80,,,2.7234442830085754,15.232697717123438
90,2.7004265189170837,2.1893041475568926e-05,,
96,,,2.712826353311539,15.071813643069467
100,2.7602184414863586,1.4716037677572745e-05,,
110,2.6840728521347046,1.0306815649193297e-05,,
112,,,2.706880193948746,14.982460155570646
118,2.7632837295532227,9.016219961707976e-06,,
118,,,2.705787342786789,14.966095500275662
