step,train_loss,lr,val_loss,val_perplexity
10,3.4455135464668274,9e-06,,
20,3.16870254278183,1.8e-05,,
30,2.941179633140564,2.7000000000000002e-05,,
40,2.8728216886520386,3.6e-05,,
50,2.9922922253608704,4.5e-05,,
60,3.113178074359894,5.4000000000000005e-05,,
70,2.5988845229148865,6.3e-05,,
80,2.738483965396881,7.2e-05,,
90,2.6857290267944336,8.100000000000002e-05,,
100,2.784324526786804,9e-05,,
110,2.916569948196411,8.999280527142277e-05,,
120,2.91324245929718,8.99679378865609e-05,,
130,2.7176414728164673,8.992531992666413e-05,,
140,2.9605294466018677,8.986497008537822e-05,,
150,2.9339094161987305,8.978691483413811e-05,,
160,2.763750910758972,8.969118841055677e-05,,
170,2.8105708360671997,8.957783280340736e-05,,
180,3.0267274975776672,8.944689773420563e-05,,
190,2.9641547203063965,8.929844063540036e-05,,
200,2.765624463558197,8.913252662518163e-05,,
210,2.7278844714164734,8.894922847891784e-05,,
220,2.7863636016845703,8.8748626597234e-05,,
228,,,2.7810471951961517,16.13590955061938
230,2.824445962905884,8.853080897074541e-05,,
240,2.8666073083877563,8.829587114146193e-05,,
250,2.768768310546875,8.804391616088026e-05,,
260,2.7060670852661133,8.77750545447821e-05,,
270,2.6738486289978027,8.748940422475823e-05,,
280,2.7716716527938843,8.718709049647981e-05,,
290,2.6658905148506165,8.686824596473966e-05,,
300,2.7964226603507996,8.65330104852873e-05,,
310,2.892037510871887,8.618153110348364e-05,,
320,2.7053717970848083,8.581396198980207e-05,,
330,3.2052857279777527,8.543046437220409e-05,,
340,2.7231475114822388,8.503120646541952e-05,,
350,2.8621535897254944,8.461636339716185e-05,,
360,2.804019570350647,8.418611713131154e-05,,
370,2.6470381021499634,8.374065638810054e-05,,
380,2.773121178150177,8.328017656133344e-05,,
390,2.8337143659591675,8.280487963268127e-05,,
400,2.701296865940094,8.231497408308563e-05,,
410,2.76111763715744,8.181067480131214e-05,,
420,2.8795674443244934,8.129220298969299e-05,,
430,2.8499974608421326,8.075978606710043e-05,,
440,2.772538959980011,8.021365756919324e-05,,
450,2.9982961416244507,7.965405704598033e-05,,
456,,,2.74213764667511,15.520126207912133
460,2.581953465938568,7.908122995674617e-05,,
