step,train_loss,lr,val_loss,val_perplexity
1,3.0519198179244995,2.0000000000000002e-07,,
2,2.5936286449432373,4.0000000000000003e-07,,
3,2.941396951675415,6.000000000000001e-07,,
4,2.6082813441753387,8.000000000000001e-07,,
5,2.530503034591675,1e-06,,
6,3.018435060977936,1.2000000000000002e-06,,
7,2.9320300221443176,1.4000000000000001e-06,,
8,2.7593879103660583,1.6000000000000001e-06,,
9,2.7542327642440796,1.8000000000000001e-06,,
10,3.02187842130661,2e-06,,
11,3.0332006216049194,2.2e-06,,
12,2.6649566888809204,2.4000000000000003e-06,,
13,2.8887927532196045,2.6000000000000005e-06,,
14,3.080965220928192,2.8000000000000003e-06,,
15,3.1368378400802612,3e-06,,
16,2.6506847739219666,3.2000000000000003e-06,,
17,2.886662781238556,3.4e-06,,
18,3.2043174505233765,3.6000000000000003e-06,,
19,2.6327940225601196,3.8e-06,,
20,3.096194565296173,4e-06,,
21,2.8953989148139954,4.2000000000000004e-06,,
22,2.771949052810669,4.4e-06,,
23,2.7391269207000732,4.6e-06,,
24,3.093529164791107,4.800000000000001e-06,,
25,2.7654143571853638,5e-06,,
26,3.0991587042808533,5.200000000000001e-06,,
27,2.706520289182663,5.4e-06,,
28,2.753801167011261,5.600000000000001e-06,,
29,2.9709978103637695,5.8e-06,,
30,2.684660494327545,6e-06,,
31,2.6362475156784058,6.2e-06,,
32,3.195246994495392,6.4000000000000006e-06,,
33,2.7999037504196167,6.600000000000001e-06,,
34,3.085839569568634,6.8e-06,,
35,3.0461414456367493,7.000000000000001e-06,,
36,3.1121166348457336,7.2000000000000005e-06,,
37,2.628985434770584,7.400000000000001e-06,,
38,2.8604995012283325,7.6e-06,,
39,2.701024115085602,7.800000000000002e-06,,
40,2.855498731136322,8e-06,,
41,2.808651864528656,8.200000000000001e-06,,
42,2.663274794816971,8.400000000000001e-06,,
43,2.542538732290268,8.6e-06,,
44,2.5351041555404663,8.8e-06,,
45,2.8855226039886475,9e-06,,
46,2.554582417011261,9.2e-06,,
47,2.876654624938965,9.400000000000001e-06,,
48,2.502923548221588,9.600000000000001e-06,,
49,2.799721598625183,9.800000000000001e-06,,
50,3.1772237420082092,1e-05,,
51,2.7064036428928375,1e-05,,
52,2.7030932307243347,9.99997196492003e-06,,
53,2.6726077795028687,9.999887860029438e-06,,
54,2.876989424228668,9.999747686376173e-06,,
55,2.7017993927001953,9.999551445706801e-06,,
56,2.8801140189170837,9.999299140466494e-06,,
57,3.0022736191749573,9.998990773798981e-06,,
58,2.947341799736023,9.99862634954652e-06,,
59,2.6096740067005157,9.998205872249854e-06,,
60,2.8200316429138184,9.99772934714814e-06,,
61,2.776655077934265,9.997196780178902e-06,,
62,2.795260787010193,9.996608177977943e-06,,
63,2.8726786375045776,9.995963547879265e-06,,
64,2.7035083770751953,9.995262897914984e-06,,
65,2.5371850728988647,9.994506236815222e-06,,
66,2.8064008355140686,9.993693574008002e-06,,
67,3.0109976530075073,9.992824919619137e-06,,
68,2.783781886100769,9.991900284472085e-06,,
69,2.520252525806427,9.990919680087839e-06,,
70,2.7359229922294617,9.989883118684758e-06,,
71,2.432886242866516,9.988790613178437e-06,,
72,2.8454458713531494,9.987642177181536e-06,,
73,2.6410218477249146,9.986437825003603e-06,,
74,2.829152822494507,9.985177571650914e-06,,
75,3.0335562229156494,9.983861432826268e-06,,
76,2.8725861310958862,9.9824894249288e-06,,
77,2.767384946346283,9.981061565053782e-06,,
78,2.84038907289505,9.979577870992395e-06,,
79,3.0322821736335754,9.97803836123152e-06,,
80,2.8771873116493225,9.976443054953505e-06,,
81,2.8518282175064087,9.97479197203592e-06,,
82,2.8953662514686584,9.973085133051319e-06,,
83,2.5645874738693237,9.971322559266977e-06,,
84,2.6656548976898193,9.969504272644625e-06,,
85,2.7390769720077515,9.967630295840178e-06,,
86,2.7692959904670715,9.965700652203457e-06,,
87,2.6871748566627502,9.963715365777885e-06,,
88,2.717047095298767,9.961674461300207e-06,,
89,2.722661256790161,9.959577964200161e-06,,
90,2.9151779413223267,9.957425900600179e-06,,
91,2.8128095269203186,9.955218297315044e-06,,
92,2.781313478946686,9.95295518185158e-06,,
93,2.6956628561019897,9.95063658240828e-06,,
94,2.761146903038025,9.948262527874975e-06,,
95,2.7200698256492615,9.945833047832473e-06,,
96,2.766029328107834,9.94334817255218e-06,,
97,2.954858422279358,9.940807932995728e-06,,
98,2.943151295185089,9.938212360814596e-06,,
99,2.5090296268463135,9.935561488349702e-06,,
100,2.864407479763031,9.932855348631012e-06,,
100,,,2.8615340028490337,17.48833352408329
101,2.5468453764915466,9.930093975377125e-06,,
102,2.7880982160568237,9.927277402994848e-06,,
103,2.6813600659370422,9.924405666578776e-06,,
104,3.081535816192627,9.921478801910844e-06,,
105,2.5356375575065613,9.91849684545989e-06,,
106,2.882565438747406,9.915459834381195e-06,,
107,2.8438817262649536,9.912367806516032e-06,,
108,2.696946442127228,9.90922080039117e-06,,
109,2.3843464851379395,9.906018855218424e-06,,
110,2.529043585062027,9.90276201089414e-06,,
111,3.11065536737442,9.899450307998715e-06,,
112,2.7747167348861694,9.896083787796086e-06,,
113,2.9306171536445618,9.892662492233214e-06,,
114,2.8903861045837402,9.889186463939564e-06,,
115,2.5800793766975403,9.885655746226571e-06,,
116,2.4845794439315796,9.882070383087103e-06,,
117,3.0037654042243958,9.878430419194912e-06,,
118,2.6537656784057617,9.87473589990408e-06,,
119,2.7855234146118164,9.870986871248443e-06,,
120,3.258876621723175,9.867183379941038e-06,,
