dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,unpacked_1600,False,1600,1e-05,1337,3.9423,3.9423,1596,188,logs/lr_scaling_mini/alpaca_unpacked_1600_lr1e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1337,3.8288,3.8287,1596,189,logs/lr_scaling_mini/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,2e-05,1337,3.8698,3.8697,1596,392,logs/lr_scaling_mini/alpaca_unpacked_1600_lr2e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,3.7740,3.7736,1596,186,logs/lr_scaling_mini/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,3.7540,3.7533,1596,185,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00015_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,3.7567,3.7563,1596,392,logs/lr_scaling_mini/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00025,1337,3.7739,3.7732,1596,188,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,1e-05,1337,4.0276,4.0276,350,52,logs/lr_scaling_mini/alpaca_packed_350_lr1e-05_seed1337.csv
alpaca,packed_350,True,350,2e-05,1337,3.9603,3.9603,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr2e-05_seed1337.csv
alpaca,packed_350,True,350,3e-05,1337,3.9160,3.9160,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr3e-05_seed1337.csv
alpaca,packed_350,True,350,6e-05,1337,3.8325,3.8325,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0004,1337,3.8061,3.8061,1600,397,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,9e-05,1337,3.7807,3.7807,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,3.6552,3.6552,350,52,logs/lr_scaling_mini/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,3.7156,3.7156,350,98,logs/lr_scaling_mini/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,3.6091,3.6091,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca_third,unpacked_530,False,530,1e-05,1337,4.0485,4.0485,530,67,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr1e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,3e-05,1337,3.9555,3.9555,530,67,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr3e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,2e-05,1337,3.9916,3.9916,530,144,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr2e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,6e-05,1337,3.8946,3.8946,530,68,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr6e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00015,1337,3.8444,3.8444,530,67,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00015_seed1337.csv
alpaca_third,unpacked_530,False,530,9e-05,1337,3.8656,3.8656,530,163,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr9e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00025,1337,3.8490,3.8490,530,67,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00025_seed1337.csv
alpaca_third,packed_118,True,118,1e-05,1337,4.1157,4.1157,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr1e-05_seed1337.csv
alpaca_third,packed_118,True,118,2e-05,1337,4.0664,4.0664,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr2e-05_seed1337.csv
alpaca_third,packed_118,True,118,3e-05,1337,4.0342,4.0342,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr3e-05_seed1337.csv
alpaca_third,packed_118,True,118,6e-05,1337,3.9735,3.9735,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr6e-05_seed1337.csv
alpaca_third,packed_118,True,118,9e-05,1337,3.9344,3.9344,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr9e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.0004,1337,3.8796,3.8796,530,150,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.0004_seed1337.csv
alpaca_third,packed_118,True,118,0.00015,1337,3.8841,3.8841,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.00015_seed1337.csv
alpaca_third,packed_118,True,118,0.0004,1337,3.8062,3.8062,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0004_seed1337.csv
alpaca_third,packed_118,True,118,0.00025,1337,3.8388,3.8388,118,41,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.00025_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1338,3.7327,3.7327,1600,342,logs/lr_scaling_mini/alpaca_unpacked_1600_lr9e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,0.00015,1338,3.7279,3.7279,1600,364,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00015_seed1338.csv
alpaca,unpacked_1600,False,1600,9e-05,1339,3.8356,3.8355,1596,786,logs/lr_scaling_mini/alpaca_unpacked_1600_lr9e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,0.00015,1339,3.8400,3.8396,1596,354,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00015_seed1339.csv
alpaca,unpacked_1600,False,1600,0.00025,1339,3.8659,3.8655,1596,364,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00025_seed1339.csv
alpaca,unpacked_1600,False,1600,0.00025,1338,3.7428,3.7425,1596,720,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.00025_seed1338.csv
alpaca_third,unpacked_530,False,530,9e-05,1338,3.8668,3.8667,525,130,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr9e-05_seed1338.csv
alpaca_third,unpacked_530,False,530,9e-05,1339,3.8956,3.8956,530,249,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr9e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,0.00015,1338,3.8464,3.8460,525,130,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00015_seed1338.csv
alpaca_third,unpacked_530,False,530,0.00025,1338,3.8503,3.8501,525,130,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00025_seed1338.csv
alpaca_third,unpacked_530,False,530,0.00015,1339,3.8665,3.8665,530,240,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00015_seed1339.csv
alpaca_third,unpacked_530,False,530,0.00025,1339,3.8606,3.8606,530,131,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.00025_seed1339.csv
alpaca,packed_350,True,350,0.0006,1337,3.5769,3.5769,350,50,logs/lr_scaling_mini/alpaca_packed_350_lr0.0006_seed1337.csv
alpaca,packed_350,True,350,0.0015,1337,3.5441,3.5441,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0015_seed1337.csv
alpaca,packed_350,True,350,0.0009,1337,3.5540,3.5540,350,130,logs/lr_scaling_mini/alpaca_packed_350_lr0.0009_seed1337.csv
alpaca,packed_350,True,350,0.0025,1337,3.5483,3.5483,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0025_seed1337.csv
alpaca_third,packed_118,True,118,0.0006,1337,3.7913,3.7913,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0006_seed1337.csv
alpaca_third,packed_118,True,118,0.0009,1337,3.7956,3.7956,118,31,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0009_seed1337.csv
alpaca_third,packed_118,True,118,0.0015,1337,3.8306,3.8306,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0015_seed1337.csv
alpaca_third,packed_118,True,118,0.0025,1337,3.9428,3.9428,118,69,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0025_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0006,1337,3.8397,3.8390,1596,183,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.0006_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0009,1337,3.8627,3.8612,1596,430,logs/lr_scaling_mini/alpaca_unpacked_1600_lr0.0009_seed1337.csv
alpaca,packed_350,True,350,0.0009,1338,3.5232,3.5232,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0009_seed1338.csv
alpaca,packed_350,True,350,0.0009,1339,3.6468,3.6468,350,97,logs/lr_scaling_mini/alpaca_packed_350_lr0.0009_seed1339.csv
alpaca,packed_350,True,350,0.0015,1338,3.5055,3.5055,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0015_seed1338.csv
alpaca,packed_350,True,350,0.0025,1338,3.5122,3.5122,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0025_seed1338.csv
alpaca,packed_350,True,350,0.0015,1339,3.6439,3.6439,350,97,logs/lr_scaling_mini/alpaca_packed_350_lr0.0015_seed1339.csv
alpaca,packed_350,True,350,0.0025,1339,3.6676,3.6676,350,51,logs/lr_scaling_mini/alpaca_packed_350_lr0.0025_seed1339.csv
alpaca_third,packed_118,True,118,0.0004,1338,3.8030,3.8030,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0004_seed1338.csv
alpaca_third,packed_118,True,118,0.0004,1339,3.8294,3.8294,118,26,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0004_seed1339.csv
alpaca_third,packed_118,True,118,0.0006,1338,3.7848,3.7848,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0006_seed1338.csv
alpaca_third,packed_118,True,118,0.0009,1338,3.7836,3.7836,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0009_seed1338.csv
alpaca_third,packed_118,True,118,0.0006,1339,3.8061,3.8061,118,45,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0006_seed1339.csv
alpaca_third,packed_118,True,118,0.0009,1339,3.8001,3.8001,118,23,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0009_seed1339.csv
alpaca_third,packed_118,True,118,0.0015,1338,3.8183,3.8183,118,24,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0015_seed1338.csv
alpaca_third,packed_118,True,118,0.0015,1339,3.8321,3.8321,118,25,logs/lr_scaling_mini/alpaca_third_packed_118_lr0.0015_seed1339.csv
alpaca_third,unpacked_530,False,530,0.0004,1339,3.8814,3.8814,530,66,logs/lr_scaling_mini/alpaca_third_unpacked_530_lr0.0004_seed1339.csv
alpaca,unpacked_1600,False,1600,6e-05,1339,3.8469,3.8468,1596,190,logs/lr_scaling_mini/alpaca_unpacked_1600_lr6e-05_seed1339.csv
