dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,unpacked_1600,False,1600,3e-05,1337,4.0767,4.0767,1596,181,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,3.9718,3.9716,1596,186,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,4.0028,4.0026,1596,393,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,3.9484,3.9480,1596,185,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr0.00015_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0004,1337,3.9540,3.9534,1596,192,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr0.0004_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00025,1337,3.9448,3.9441,1596,506,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr0.00025_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0006,1337,3.9660,3.9657,1596,187,logs/lr_scaling_mini2k/alpaca_unpacked_1600_lr0.0006_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,3.8778,3.8778,350,52,logs/lr_scaling_mini2k/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,3.8134,3.8134,350,103,logs/lr_scaling_mini2k/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,0.0006,1337,3.7644,3.7644,350,51,logs/lr_scaling_mini2k/alpaca_packed_350_lr0.0006_seed1337.csv
alpaca,packed_350,True,350,0.0015,1337,3.6886,3.6886,350,51,logs/lr_scaling_mini2k/alpaca_packed_350_lr0.0015_seed1337.csv
alpaca,packed_350,True,350,0.0025,1337,3.6638,3.6638,350,51,logs/lr_scaling_mini2k/alpaca_packed_350_lr0.0025_seed1337.csv
