dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,packed_350,True,350,9e-05,1337,2.4193,2.4193,350,267,logs/lr_scaling_quality2500/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,2.3650,2.3650,350,265,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,2.3827,2.3827,350,710,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,2.3747,2.3747,350,260,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,0.0006,1337,2.3998,2.3998,350,619,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.0006_seed1337.csv
alpaca,unpacked_1600,False,1600,2e-05,1337,2.5102,2.5102,1600,1071,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr2e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,2.4702,2.4702,1600,1072,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1337,2.4849,2.4849,1600,2699,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,2.4855,2.4855,1600,1071,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,2.5379,2.5377,1596,2118,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00015,1338,2.3443,2.3443,350,250,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00015_seed1338.csv
alpaca,packed_350,True,350,0.00025,1338,2.3225,2.3225,350,264,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00025_seed1338.csv
alpaca,packed_350,True,350,0.00015,1339,2.4859,2.4859,350,679,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00015_seed1339.csv
alpaca,packed_350,True,350,0.00025,1339,2.4652,2.4652,350,259,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.00025_seed1339.csv
alpaca,packed_350,True,350,0.0004,1339,2.4698,2.4698,350,258,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.0004_seed1339.csv
alpaca,packed_350,True,350,0.0004,1338,2.3241,2.3241,350,681,logs/lr_scaling_quality2500/alpaca_packed_350_lr0.0004_seed1338.csv
alpaca,unpacked_1600,False,1600,3e-05,1338,2.4500,2.4500,1600,1074,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr3e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,6e-05,1338,2.4314,2.4313,1596,1079,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr6e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,3e-05,1339,2.5899,2.5899,1600,2634,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr3e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,6e-05,1339,2.5780,2.5779,1596,1071,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr6e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,9e-05,1339,2.5923,2.5921,1596,1071,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr9e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,9e-05,1338,2.4450,2.4447,1596,2507,logs/lr_scaling_quality2500/alpaca_unpacked_1600_lr9e-05_seed1338.csv
