dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,unpacked_1600,False,1600,1e-05,1337,2.6275,2.6275,1600,354,logs/lr_scaling_small/alpaca_unpacked_1600_lr1e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1337,2.5797,2.5797,1600,347,logs/lr_scaling_small/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,2.5927,2.5927,1600,348,logs/lr_scaling_small/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,2e-05,1337,2.5900,2.5900,1600,1097,logs/lr_scaling_small/alpaca_unpacked_1600_lr2e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,2.6221,2.6221,1600,347,logs/lr_scaling_small/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00025,1337,2.7655,2.7655,1600,347,logs/lr_scaling_small/alpaca_unpacked_1600_lr0.00025_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,2.6812,2.6812,1600,966,logs/lr_scaling_small/alpaca_unpacked_1600_lr0.00015_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0004,1337,2.8585,2.8582,1596,348,logs/lr_scaling_small/alpaca_unpacked_1600_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,2e-05,1337,2.6231,2.6231,350,88,logs/lr_scaling_small/alpaca_packed_350_lr2e-05_seed1337.csv
alpaca,packed_350,True,350,3e-05,1337,2.5885,2.5885,350,89,logs/lr_scaling_small/alpaca_packed_350_lr3e-05_seed1337.csv
alpaca,packed_350,True,350,1e-05,1337,2.6821,2.6821,350,247,logs/lr_scaling_small/alpaca_packed_350_lr1e-05_seed1337.csv
alpaca,packed_350,True,350,6e-05,1337,2.5349,2.5349,350,89,logs/lr_scaling_small/alpaca_packed_350_lr6e-05_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,2.4853,2.4853,350,89,logs/lr_scaling_small/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,2.4783,2.4783,350,89,logs/lr_scaling_small/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,9e-05,1337,2.5091,2.5091,350,267,logs/lr_scaling_small/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,2.4902,2.4902,350,89,logs/lr_scaling_small/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca_third,unpacked_530,False,530,1e-05,1337,2.6874,2.6874,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr1e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,3e-05,1337,2.6229,2.6229,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr3e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,6e-05,1337,2.6035,2.6035,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr6e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,2e-05,1337,2.6447,2.6447,530,404,logs/lr_scaling_small/alpaca_third_unpacked_530_lr2e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,9e-05,1337,2.6104,2.6104,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr9e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00025,1337,2.7192,2.7192,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr0.00025_seed1337.csv
alpaca_third,unpacked_530,False,530,0.0004,1337,2.8271,2.8271,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr0.0004_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00015,1337,2.6464,2.6464,530,370,logs/lr_scaling_small/alpaca_third_unpacked_530_lr0.00015_seed1337.csv
alpaca_third,packed_118,True,118,1e-05,1337,2.7413,2.7413,118,38,logs/lr_scaling_small/alpaca_third_packed_118_lr1e-05_seed1337.csv
alpaca_third,packed_118,True,118,3e-05,1337,2.6673,2.6673,118,37,logs/lr_scaling_small/alpaca_third_packed_118_lr3e-05_seed1337.csv
alpaca_third,packed_118,True,118,6e-05,1337,2.6196,2.6196,118,37,logs/lr_scaling_small/alpaca_third_packed_118_lr6e-05_seed1337.csv
alpaca_third,packed_118,True,118,2e-05,1337,2.6955,2.6955,118,106,logs/lr_scaling_small/alpaca_third_packed_118_lr2e-05_seed1337.csv
alpaca_third,packed_118,True,118,9e-05,1337,2.5960,2.5960,118,38,logs/lr_scaling_small/alpaca_third_packed_118_lr9e-05_seed1337.csv
alpaca_third,packed_118,True,118,0.00025,1337,2.5764,2.5764,118,38,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00025_seed1337.csv
alpaca_third,packed_118,True,118,0.0004,1337,2.6003,2.6003,118,38,logs/lr_scaling_small/alpaca_third_packed_118_lr0.0004_seed1337.csv
alpaca_third,packed_118,True,118,0.00015,1337,2.5767,2.5767,118,101,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00015,1338,2.4419,2.4419,350,86,logs/lr_scaling_small/alpaca_packed_350_lr0.00015_seed1338.csv
alpaca,packed_350,True,350,0.00025,1338,2.4289,2.4289,350,90,logs/lr_scaling_small/alpaca_packed_350_lr0.00025_seed1338.csv
alpaca,packed_350,True,350,0.00025,1339,2.5779,2.5779,350,90,logs/lr_scaling_small/alpaca_packed_350_lr0.00025_seed1339.csv
alpaca,packed_350,True,350,0.00015,1339,2.5887,2.5887,350,295,logs/lr_scaling_small/alpaca_packed_350_lr0.00015_seed1339.csv
alpaca,packed_350,True,350,0.0004,1338,2.4375,2.4375,350,89,logs/lr_scaling_small/alpaca_packed_350_lr0.0004_seed1338.csv
alpaca,packed_350,True,350,0.0004,1339,2.5876,2.5876,350,247,logs/lr_scaling_small/alpaca_packed_350_lr0.0004_seed1339.csv
alpaca,unpacked_1600,False,1600,2e-05,1338,2.5567,2.5567,1600,347,logs/lr_scaling_small/alpaca_unpacked_1600_lr2e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,3e-05,1338,2.5415,2.5415,1600,347,logs/lr_scaling_small/alpaca_unpacked_1600_lr3e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,3e-05,1339,2.6825,2.6825,1600,348,logs/lr_scaling_small/alpaca_unpacked_1600_lr3e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,2e-05,1339,2.6912,2.6912,1600,1066,logs/lr_scaling_small/alpaca_unpacked_1600_lr2e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,6e-05,1338,2.5452,2.5452,1600,348,logs/lr_scaling_small/alpaca_unpacked_1600_lr6e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,6e-05,1339,2.6977,2.6977,1600,820,logs/lr_scaling_small/alpaca_unpacked_1600_lr6e-05_seed1339.csv
alpaca_third,packed_118,True,118,0.00015,1338,2.6188,2.6188,118,35,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00015_seed1338.csv
alpaca_third,packed_118,True,118,0.00015,1339,2.6184,2.6184,118,62,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00015_seed1339.csv
alpaca_third,packed_118,True,118,0.00025,1338,2.6180,2.6180,118,36,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00025_seed1338.csv
alpaca_third,packed_118,True,118,0.0004,1338,2.6385,2.6385,118,36,logs/lr_scaling_small/alpaca_third_packed_118_lr0.0004_seed1338.csv
alpaca_third,packed_118,True,118,0.00025,1339,2.6137,2.6137,118,81,logs/lr_scaling_small/alpaca_third_packed_118_lr0.00025_seed1339.csv
alpaca_third,packed_118,True,118,0.0004,1339,2.6352,2.6352,118,37,logs/lr_scaling_small/alpaca_third_packed_118_lr0.0004_seed1339.csv
alpaca_third,unpacked_530,False,530,3e-05,1338,2.6643,2.6643,530,125,logs/lr_scaling_small/alpaca_third_unpacked_530_lr3e-05_seed1338.csv
alpaca_third,unpacked_530,False,530,6e-05,1338,2.6446,2.6446,530,124,logs/lr_scaling_small/alpaca_third_unpacked_530_lr6e-05_seed1338.csv
alpaca_third,unpacked_530,False,530,3e-05,1339,2.6730,2.6730,530,362,logs/lr_scaling_small/alpaca_third_unpacked_530_lr3e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,6e-05,1339,2.6472,2.6472,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr6e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,9e-05,1339,2.6501,2.6501,530,123,logs/lr_scaling_small/alpaca_third_unpacked_530_lr9e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,9e-05,1338,2.6494,2.6494,530,319,logs/lr_scaling_small/alpaca_third_unpacked_530_lr9e-05_seed1338.csv
alpaca_ninth,unpacked_177,False,177,1e-05,1337,2.8095,2.8095,177,42,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr1e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,2e-05,1337,2.7723,2.7723,177,42,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr2e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,3e-05,1337,2.7514,2.7514,177,42,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr3e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,6e-05,1337,2.7242,2.7242,177,44,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr6e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,9e-05,1337,2.7201,2.7201,177,43,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr9e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,0.00015,1337,2.7371,2.7371,177,65,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr0.00015_seed1337.csv
alpaca_ninth,unpacked_177,False,177,0.00025,1337,2.7947,2.7947,177,45,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr0.00025_seed1337.csv
alpaca_ninth,packed_39,True,39,1e-05,1337,2.8623,2.8623,39,18,logs/lr_scaling_small/alpaca_ninth_packed_39_lr1e-05_seed1337.csv
alpaca_ninth,packed_39,True,39,2e-05,1337,2.8215,2.8215,39,17,logs/lr_scaling_small/alpaca_ninth_packed_39_lr2e-05_seed1337.csv
alpaca_ninth,packed_39,True,39,3e-05,1337,2.7988,2.7988,39,17,logs/lr_scaling_small/alpaca_ninth_packed_39_lr3e-05_seed1337.csv
alpaca_ninth,packed_39,True,39,6e-05,1337,2.7606,2.7606,39,16,logs/lr_scaling_small/alpaca_ninth_packed_39_lr6e-05_seed1337.csv
alpaca_ninth,unpacked_177,False,177,0.0004,1337,2.8953,2.8953,177,95,logs/lr_scaling_small/alpaca_ninth_unpacked_177_lr0.0004_seed1337.csv
alpaca_ninth,packed_39,True,39,9e-05,1337,2.7422,2.7422,39,17,logs/lr_scaling_small/alpaca_ninth_packed_39_lr9e-05_seed1337.csv
alpaca_ninth,packed_39,True,39,0.00025,1337,2.7337,2.7337,39,16,logs/lr_scaling_small/alpaca_ninth_packed_39_lr0.00025_seed1337.csv
alpaca_ninth,packed_39,True,39,0.00015,1337,2.7254,2.7254,39,35,logs/lr_scaling_small/alpaca_ninth_packed_39_lr0.00015_seed1337.csv
alpaca_ninth,packed_39,True,39,0.0004,1337,2.7697,2.7697,39,17,logs/lr_scaling_small/alpaca_ninth_packed_39_lr0.0004_seed1337.csv
alpaca_ninth,packed_39,True,39,9e-05,1338,2.7099,2.7099,39,17,logs/lr_scaling_small/alpaca_ninth_packed_39_lr9e-05_seed1338.csv
alpaca_ninth,packed_39,True,39,9e-05,1339,2.7292,2.7292,39,20,logs/lr_scaling_small/alpaca_ninth_packed_39_lr9e-05_seed1339.csv
