dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,unpacked_1600,False,1600,1e-05,1337,2.7525,2.7525,1600,702,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr1e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1337,2.6764,2.6764,1600,702,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr3e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,2e-05,1337,2.6983,2.6983,1600,1757,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr2e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,6e-05,1337,2.6659,2.6659,1600,604,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr6e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00015,1337,2.7249,2.7248,1596,351,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr0.00015_seed1337.csv
alpaca,unpacked_1600,False,1600,9e-05,1337,2.6807,2.6807,1600,892,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr9e-05_seed1337.csv
alpaca,unpacked_1600,False,1600,0.00025,1337,2.7910,2.7910,1600,350,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr0.00025_seed1337.csv
alpaca,packed_350,True,350,1e-05,1337,2.8233,2.8233,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr1e-05_seed1337.csv
alpaca,packed_350,True,350,2e-05,1337,2.7549,2.7549,350,90,logs/lr_scaling_small9k/alpaca_packed_350_lr2e-05_seed1337.csv
alpaca,packed_350,True,350,3e-05,1337,2.7130,2.7130,350,90,logs/lr_scaling_small9k/alpaca_packed_350_lr3e-05_seed1337.csv
alpaca,packed_350,True,350,6e-05,1337,2.6431,2.6431,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr6e-05_seed1337.csv
alpaca,packed_350,True,350,9e-05,1337,2.6068,2.6068,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,2.5711,2.5711,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,2.5479,2.5479,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.00025_seed1337.csv
alpaca,unpacked_1600,False,1600,0.0004,1337,2.8704,2.8704,1600,774,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr0.0004_seed1337.csv
alpaca,packed_350,True,350,0.0004,1337,2.5433,2.5433,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0004_seed1337.csv
alpaca_third,unpacked_530,False,530,1e-05,1337,2.8196,2.8196,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr1e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,3e-05,1337,2.7358,2.7358,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr3e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,2e-05,1337,2.7652,2.7652,530,286,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr2e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,6e-05,1337,2.7003,2.7003,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr6e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00015,1337,2.7098,2.7098,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr0.00015_seed1337.csv
alpaca_third,unpacked_530,False,530,9e-05,1337,2.6948,2.6948,530,288,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr9e-05_seed1337.csv
alpaca_third,unpacked_530,False,530,0.00025,1337,2.7587,2.7587,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr0.00025_seed1337.csv
alpaca_third,packed_118,True,118,1e-05,1337,2.8873,2.8873,118,37,logs/lr_scaling_small9k/alpaca_third_packed_118_lr1e-05_seed1337.csv
alpaca_third,packed_118,True,118,2e-05,1337,2.8323,2.8323,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr2e-05_seed1337.csv
alpaca_third,packed_118,True,118,3e-05,1337,2.7977,2.7977,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr3e-05_seed1337.csv
alpaca_third,packed_118,True,118,6e-05,1337,2.7384,2.7384,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr6e-05_seed1337.csv
alpaca_third,packed_118,True,118,9e-05,1337,2.7058,2.7058,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr9e-05_seed1337.csv
alpaca_third,packed_118,True,118,0.00015,1337,2.6724,2.6724,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00015_seed1337.csv
alpaca_third,unpacked_530,False,530,0.0004,1337,2.8438,2.8438,530,287,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr0.0004_seed1337.csv
alpaca_third,packed_118,True,118,0.00025,1337,2.6553,2.6553,118,38,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00025_seed1337.csv
alpaca_third,packed_118,True,118,0.0004,1337,2.6600,2.6600,118,82,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.0004_seed1337.csv
alpaca,unpacked_1600,False,1600,3e-05,1338,2.6370,2.6370,1600,349,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr3e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,6e-05,1338,2.6197,2.6197,1600,348,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr6e-05_seed1338.csv
alpaca,unpacked_1600,False,1600,3e-05,1339,2.7755,2.7755,1600,832,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr3e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,6e-05,1339,2.7688,2.7688,1596,348,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr6e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,9e-05,1339,2.7854,2.7854,1596,348,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr9e-05_seed1339.csv
alpaca,unpacked_1600,False,1600,9e-05,1338,2.6309,2.6309,1596,793,logs/lr_scaling_small9k/alpaca_unpacked_1600_lr9e-05_seed1338.csv
alpaca_third,packed_118,True,118,0.00015,1338,2.7295,2.7295,118,36,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00015_seed1338.csv
alpaca_third,packed_118,True,118,0.00015,1339,2.7142,2.7142,118,70,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00015_seed1339.csv
alpaca_third,packed_118,True,118,0.00025,1338,2.7092,2.7092,118,36,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00025_seed1338.csv
alpaca_third,packed_118,True,118,0.0004,1338,2.7100,2.7100,118,37,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.0004_seed1338.csv
alpaca_third,packed_118,True,118,0.0004,1339,2.6937,2.6937,118,37,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.0004_seed1339.csv
alpaca_third,packed_118,True,118,0.00025,1339,2.6929,2.6929,118,80,logs/lr_scaling_small9k/alpaca_third_packed_118_lr0.00025_seed1339.csv
alpaca_third,unpacked_530,False,530,6e-05,1338,2.7560,2.7560,530,124,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr6e-05_seed1338.csv
alpaca_third,unpacked_530,False,530,9e-05,1338,2.7469,2.7469,530,124,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr9e-05_seed1338.csv
alpaca_third,unpacked_530,False,530,6e-05,1339,2.7436,2.7436,530,317,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr6e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,9e-05,1339,2.7328,2.7328,530,124,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr9e-05_seed1339.csv
alpaca_third,unpacked_530,False,530,0.00015,1339,2.7430,2.7430,530,123,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr0.00015_seed1339.csv
alpaca_third,unpacked_530,False,530,0.00015,1338,2.7554,2.7554,530,291,logs/lr_scaling_small9k/alpaca_third_unpacked_530_lr0.00015_seed1338.csv
alpaca,packed_350,True,350,0.0006,1337,2.5627,2.5627,350,84,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0006_seed1337.csv
alpaca,packed_350,True,350,0.0015,1337,2.6945,2.6945,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0015_seed1337.csv
alpaca,packed_350,True,350,0.0009,1337,2.6035,2.6035,350,207,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0009_seed1337.csv
alpaca,packed_350,True,350,0.00025,1338,2.4957,2.4957,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.00025_seed1338.csv
alpaca,packed_350,True,350,0.0004,1338,2.4876,2.4876,350,90,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0004_seed1338.csv
alpaca,packed_350,True,350,0.0004,1339,2.6417,2.6417,350,90,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0004_seed1339.csv
alpaca,packed_350,True,350,0.00025,1339,2.6472,2.6472,350,288,logs/lr_scaling_small9k/alpaca_packed_350_lr0.00025_seed1339.csv
alpaca,packed_350,True,350,0.0006,1338,2.4997,2.4997,350,89,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0006_seed1338.csv
alpaca,packed_350,True,350,0.0006,1339,2.6547,2.6547,350,234,logs/lr_scaling_small9k/alpaca_packed_350_lr0.0006_seed1339.csv
