dataset,cell,pack_sequences,max_steps,max_lr,seed,final_val_loss,best_val_loss,best_val_step,wall_seconds,log_path
alpaca,packed_350,True,350,3e-05,1337,2.0678,2.0678,350,260,logs/lr_scaling/packed_350_lr3e-05_seed1337.csv
alpaca,packed_1600,True,1600,1e-05,1337,2.0421,2.0421,1600,1098,logs/lr_scaling/packed_1600_lr1e-05_seed1337.csv
alpaca,packed_1600,True,1600,3e-05,1337,2.0197,2.0133,912,1133,logs/lr_scaling/packed_1600_lr3e-05_seed1337.csv
alpaca,packed_1600,True,1600,2e-05,1337,2.0171,2.0158,1368,3255,logs/lr_scaling/packed_1600_lr2e-05_seed1337.csv
alpaca,packed_1600,True,1600,6e-05,1337,2.0845,2.0151,684,1106,logs/lr_scaling/packed_1600_lr6e-05_seed1337.csv
alpaca,packed_1600,True,1600,0.00015,1337,2.3616,2.0719,684,,logs/lr_scaling/packed_1600_lr0.00015_seed1337.csv
alpaca,packed_1600,True,1600,9e-05,1337,2.1789,2.0308,684,,logs/lr_scaling/packed_1600_lr9e-05_seed1337.csv
alpaca,unpacked_350,False,350,1e-05,1337,2.1885,2.1885,350,248,logs/lr_scaling/alpaca_unpacked_350_lr1e-05_seed1337.csv
alpaca,unpacked_350,False,350,3e-05,1337,2.1397,2.1397,350,258,logs/lr_scaling/alpaca_unpacked_350_lr3e-05_seed1337.csv
alpaca,unpacked_350,False,350,6e-05,1337,2.1338,2.1338,350,255,logs/lr_scaling/alpaca_unpacked_350_lr6e-05_seed1337.csv
alpaca,unpacked_350,False,350,2e-05,1337,2.1539,2.1539,350,812,logs/lr_scaling/alpaca_unpacked_350_lr2e-05_seed1337.csv
alpaca,unpacked_350,False,350,9e-05,1337,2.1466,2.1466,350,255,logs/lr_scaling/alpaca_unpacked_350_lr9e-05_seed1337.csv
alpaca,unpacked_350,False,350,0.00025,1337,2.2770,2.2770,350,255,logs/lr_scaling/alpaca_unpacked_350_lr0.00025_seed1337.csv
alpaca,unpacked_350,False,350,0.00015,1337,2.1907,2.1907,350,613,logs/lr_scaling/alpaca_unpacked_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,1e-05,1337,2.1353,2.1353,350,257,logs/lr_scaling/alpaca_packed_350_lr1e-05_seed1337.csv
alpaca,packed_350,True,350,6e-05,1337,2.0352,2.0352,350,259,logs/lr_scaling/alpaca_packed_350_lr6e-05_seed1337.csv
alpaca,packed_350,True,350,9e-05,1337,2.0217,2.0217,350,258,logs/lr_scaling/alpaca_packed_350_lr9e-05_seed1337.csv
alpaca,packed_350,True,350,2e-05,1337,2.0911,2.0911,350,871,logs/lr_scaling/alpaca_packed_350_lr2e-05_seed1337.csv
alpaca,packed_350,True,350,0.00015,1337,2.0175,2.0175,350,258,logs/lr_scaling/alpaca_packed_350_lr0.00015_seed1337.csv
alpaca,packed_350,True,350,0.00025,1337,2.0319,2.0319,350,593,logs/lr_scaling/alpaca_packed_350_lr0.00025_seed1337.csv
